№ point;Location;Soil sample depth;;;;Missing samples;;;;Missing sample count;E;N;Elevation, м;Date;Time;Weather;;;;Photo;;;;Soil salinity;;;Soil electric conductivity ;;;Soil temperature;;;Soil moisture;;;Mean canopy temperature;Mean soil surface temperature;Landcover type;Landcover type2;Vegetation type;Vegetation name;Density of vegetation, %;Terrain type;Soil texture;Lithology;Soil color;Note
;;;;;;;;;;;;;;;;Sunshine;Cloudiness;Snow;Rain;Direction/№ picture;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5;0-20;20-50;50-100;0-5;0-20;20-50;50-100;;;;;;;;;;;East;South;West;North;0-20;20-50;50-100;0-20;20-50;50-100;0-20;20-50;50-100;0-20;20-50;50-100;;;;;;;;;;;;
S124;Aral district, the southest point, 10 km South-West from Kaskakulan spring, Barsakelmes protected area;Yes;Yes;No;No;1;0;0;0;0;60,893604;45,588539;39;22.05.2018;10:25;Yes;No;No;No;IMG_8046;IMG_8047;IMG_8048;IMG_8049;0,09;NA;NA;3,14;NA;NA;37,7;NA;NA;1,66;NA;NA;27,95;41,16;Shrubland;Former sea bed;Desert and xerophytic shrubs;Haloxylon,  herbs;60-90;Plain;Sand, Loam;Clay, Sand;Yellow;Former sea bed, now planred with Haloxylon well fixed sands, moditied
S125;Aral district, 8 km South-West from Kaskakulan spring, Barsakelmes protected area;Yes;Yes;No;No;1;1;0;0;1;60,912059;45,608637;47;22.05.2018;11:17;Yes;No;No;No;IMG_8054;IMG_8055;IMG_8056;IMG_8057;1,9;NA;NA;101,3;NA;NA;36,3;NA;NA;23,22;NA;NA;NA;38,62;Bare area;Former sea bed;NA;NA;0-30;Plain;Sand, Silt;Sand, Silt;Yellow;No vegetation, former sea bed, moving sands on it, sample is collected directly from sea bed
S126;Aral district, 6 km South-West from Kaskakulan spring, Barsakelmes protected area;Yes;Yes;No;No;0;1;0;0;1;60,928608;45,624813;46;22.05.2018;11:26;Yes;No;No;No;IMG_8058;IMG_8059;IMG_8060;IMG_8061;0,97;NA;NA;46,2;NA;NA;38,8;NA;NA;10,35;NA;NA;34,5;48,3;Shrubland;Grassland;Desert and xerophytic shrubs;Small Haloxylon,   Sarsazan;30-60;Plain;Sand, Silt;Sand, Clay, Silt;Grey;Former sea bed, now planred 
S127;Aral district, 1.5 km South-West from Kaskakulan spring, Barsakelmes protected area;Yes;Yes;No;No;1;0;0;0;0;60,9836;45,648156;47;22.05.2018;12:10;Yes;No;No;No;IMG_8062;IMG_8063;IMG_8064;IMG_8065;0,16;NA;NA;5,7;NA;NA;39,9;NA;NA;1,03;NA;NA;31,45;55,36;Shrubland;Grassland;Desert and xerophytic shrubs;Shengel;30-60;Plain;Sand, Silt;Sand, Silt;Grey;NA
S128;Aral district, Kaskakulan site;Yes;Yes;No;No;0;0;0;0;0;60,987777;45,656316;49;22.05.2018;12:51;Yes;No;No;No;IMG_8066;IMG_8067;IMG_8068;IMG_8069;0,14;NA;NA;4,18;NA;NA;41,4;NA;NA;0,12;NA;NA;32,575;49,65;Shrubland;Grassland;shrub and coppice, Grass;Tamarix, Yantak;60-90;Plain;Sand, Loam;Sand;Grey;Near the water source at protected area
S129;Aral district, 2 km East from Kaskakulan site;Yes;Yes;No;No;1;1;0;0;1;61,018802;45,657462;43;22.05.2018;13:10;Yes;No;No;No;IMG_8070;IMG_8071;IMG_8072;IMG_8073;0,18;NA;NA;5,64;NA;NA;43,7;NA;NA;5,72;NA;NA;36,66;53,3;Shrubland;Former sea bed;Shrub and coppice, Desert and xerophytic shrubs;Haloxylon;60-90;Plain;Sand, Loam, Silt;Sand, Silt;Grey;Former sea bed, now grey takyr with small sea shells, may be reant transgression zone
S130;Aral district, ~ 32 km South-West from Zhanakurylys village, Barsakelmes protected area;Yes;Yes;No;No;1;0;0;0;0;61,213133;45,725247;53;22.05.2018;14:15;No;Yes, ~30%;No;No;IMG_8074;IMG_8075;IMG_8076;IMG_8077;0,87;NA;NA;38,1;NA;NA;41;NA;NA;16,91;NA;NA;35,28;48,30;Grassland;Former sea bed;shrub and coppice;Sarsazan (saline shrub vegetation), herbs;0-30;Plain;Loam;Sand, Clay;Grey;Takyr with few vegetation, very sparse
S131;Aral district, ~ 28 km South-West from Zhanakurylys village, Barsakelmes protected area;Yes;Yes;No;No;0;0;0;0;0;61,221228;45,754821;54;22.05.2018;14:35;No;Yes, ~20%;No;No;IMG_8078;IMG_8079;IMG_8080;IMG_8081;0,02;NA;NA;0,7;NA;NA;42,7;NA;NA;3,2;NA;NA;38,2;54,92;Grassland;Pasture;Grass;Artemisia, other herbs;60-90;Plain;Sandly Loam;Sand, Clay;Grey;Various herbaceous vegetation, Air temperature is ~ 28
S132;Aral district, ~ 21 km South-West from Zhanakurylys village;Yes;Yes;No;No;1;0;0;0;0;61,257944;45,815325;47;22.05.2018;15:00;No;Yes, ~30%;No;No;IMG_8082;IMG_8083;IMG_8084;IMG_8085;0,28;NA;NA;8,84;NA;NA;43,2;NA;NA;9,76;NA;NA;36,58;50,87;Cropland;Abandoned;Grass;Herbaceous vegetation;30-60;Plain;Sandly Loam;Sand, Clay;Grey;Abandoned cropland (very old)
S133;Aral district, ~ 18 km South-West from Zhanakurylys village;Yes;Yes;No;No;1;1;0;0;1;61,267256;45,847397;47;22.05.2018;15:15;No;Yes, ~30%;No;No;IMG_8086;IMG_8087;IMG_8088;IMG_8089;0,1;NA;NA;3,25;NA;NA;40,9;NA;NA;6,68;NA;NA;33,09;38,50;Mosaic tree and shrub/herbaceous;Pasture;Shrub and coppice, Grass;Tamarix, herbs;60-90;Plain;Loam, Clay, Silt;Sand, Silt, Clay;Grey;Plain over lakeshore, gw level is high, Various herbaceous vegetation, vegetation is very dense
