feature,spearman_rho,p_value,n
prof_caso4_pct,0.466,0.175,10
top_caco3_pct,0.393,0.0469,26
prof_caco3_pct,0.336,0.0805,28
prof_salt_cl_pct,-0.265,0.0659,49
top_salt_cl_pct,-0.265,0.0659,49
rs30_ndwi,-0.254,0.0593,56
top_exch_na,-0.213,0.1303,52
top_exch_sum,-0.213,0.1303,52
top_sand_pct,0.209,0.1594,47
prof_sand_pct,0.209,0.1594,47
top_hygroscopic_water_pct,-0.207,0.1726,45
prof_hygroscopic_water_pct,-0.207,0.1726,45
rs30_si,-0.204,0.1323,56
prof_exch_sum,-0.201,0.154,52
rs30_msavi,0.196,0.1467,56
top_salt_ca_pct,-0.187,0.1685,56
prof_salt_ca_pct,-0.187,0.1685,56
prof_exch_na,-0.184,0.1904,52
top_silt_pct,-0.183,0.2179,47
prof_silt_pct,-0.183,0.2179,47
top_exch_mg,-0.175,0.216,52
rs_bi,-0.17,0.2105,56
top_salt_so4_pct,-0.168,0.216,56
prof_salt_so4_pct,-0.168,0.216,56
top_salt_na_pct,-0.164,0.226,56
prof_salt_na_pct,-0.164,0.226,56
rs30_ndmi,-0.157,0.2473,56
prof_salt_sum_salts_pct,-0.152,0.264,56
top_salt_sum_salts_pct,-0.152,0.264,56
rs_slope_deg,0.147,0.2807,56
top_exch_ca,-0.136,0.3351,52
top_salt_mg_pct,-0.134,0.3248,56
prof_salt_mg_pct,-0.134,0.3248,56
prof_exch_mg,-0.124,0.3798,52
prof_exch_ca,-0.12,0.3955,52
prof_k2o_mobile,-0.108,0.4899,43
top_p2o5_mobile,0.107,0.5014,42
prof_ph_water,-0.094,0.5551,42
top_k2o_mobile,-0.092,0.5576,43
prof_clay_pct,-0.086,0.5632,47
top_clay_pct,-0.086,0.5632,47
prof_physical_clay_lt0p01,-0.081,0.5865,47
top_physical_clay_lt0p01,-0.081,0.5865,47
top_c_n_ratio,-0.08,0.5719,52
prof_p2o5_mobile,0.079,0.6208,42
prof_c_n_ratio,-0.076,0.5913,52
top_salt_alk_hco3_pct,0.047,0.7327,56
prof_salt_alk_hco3_pct,0.047,0.7327,56
top_ph_water,-0.033,0.8334,42
top_exch_k,0.024,0.8655,52
prof_humus_pct,-0.02,0.8878,52
top_humus_pct,-0.006,0.9662,52
top_n_total_pct,0.004,0.9775,52
prof_n_total_pct,0.002,0.9887,52
prof_exch_k,0.0,1.0,52
rs_ndmi,,,11
rs_ndvi,,,11
rs_ndwi_nir,,,11
rs_ndsi_green_swir2,,,11
rs_br_nir_swir2,,,11
