pit_id,depth_to_moist_cm,depth_to_salt_cm,rust_mottling_flag,gley_flag,solum_depth_cm,hcl_effervescence_class,surface_crust_flag,marine_shell_flag,horizon_salic_flag,horizon_ploughed_flag
01/13,3.0,0.0,0,0,90.0,2.0,0,0,0,0
01/14,0.0,24.0,1,0,100.0,2.0,0,0,0,0
02/13,4.0,0.0,0,0,75.0,2.0,0,0,0,0
02/14,5.0,,0,0,70.0,2.0,0,0,1,0
03/14,5.0,30.0,1,1,100.0,2.0,0,0,1,0
04/14,0.0,0.0,1,0,110.0,2.0,0,0,0,0
05/14,,0.0,0,0,90.0,,1,0,1,0
06/13,0.0,,0,0,75.0,2.0,0,0,0,0
07/13,0.0,,0,0,75.0,2.0,0,0,0,0
07/14,5.0,0.0,0,0,90.0,2.0,0,0,0,0
08/13,0.0,,0,0,80.0,,0,0,0,0
08/14,,14.0,0,0,40.0,,1,0,0,0
09/13,0.0,,0,0,100.0,,0,0,0,0
09/14,0.0,,0,0,110.0,2.0,0,0,0,1
10/13,8.0,53.0,0,0,80.0,,0,0,0,0
10А/12,12.0,0.0,1,1,100.0,2.0,1,0,0,0
11/13,0.0,17.0,0,0,75.0,2.0,0,0,0,0
11/14,0.0,,1,1,110.0,2.0,0,0,0,1
11А/12,36.0,,1,1,85.0,2.0,1,1,0,0
12/13,0.0,18.0,0,0,80.0,2.0,0,0,1,0
12/14,5.0,5.0,1,0,90.0,2.0,1,0,0,0
12А/12,5.0,,1,1,90.0,2.0,1,1,0,0
13/13,0.0,0.0,0,0,85.0,,0,0,0,1
13/14,16.0,0.0,1,0,100.0,2.0,1,0,0,0
13А/12,12.0,,1,1,85.0,2.0,1,1,0,0
14/13,0.0,,0,0,85.0,2.0,0,0,0,0
14/14,0.0,,1,1,90.0,2.0,0,0,0,1
14А/12,5.0,,1,1,80.0,2.0,1,1,0,0
15/13,0.0,,0,0,75.0,2.0,0,0,0,0
15/14,7.0,0.0,1,0,110.0,2.0,0,0,0,0
15А/12,16.0,16.0,1,1,85.0,2.0,1,1,0,0
16/13,0.0,0.0,0,0,85.0,2.0,0,0,1,0
16/14,8.0,18.0,0,0,90.0,,0,0,0,1
16А/12,11.0,5.0,1,1,90.0,2.0,1,1,0,0
17/13,0.0,0.0,0,0,80.0,,1,0,1,0
17/14,0.0,,1,0,100.0,2.0,0,0,0,0
17А/12,5.0,,1,0,90.0,2.0,1,1,0,0
18/14,20.0,8.0,1,1,90.0,1.0,1,0,0,0
18А/12,5.0,0.0,1,1,90.0,2.0,1,0,0,0
19/13,5.0,14.0,0,0,80.0,,0,0,1,0
19/14,0.0,0.0,1,0,90.0,2.0,0,0,0,1
19А/12,0.0,0.0,1,1,75.0,2.0,1,0,0,0
1А/12,12.0,28.0,1,0,80.0,2.0,0,0,0,0
20/13,0.0,,0,0,90.0,2.0,0,0,0,0
20А/12,5.0,23.0,1,1,100.0,2.0,0,1,0,0
21/13,0.0,,0,0,90.0,,0,0,0,0
21/14,5.0,,0,0,100.0,2.0,0,0,0,0
22А/12,12.0,42.0,1,1,80.0,2.0,1,1,0,0
23/14,,25.0,1,0,80.0,2.0,1,0,0,0
23А/12,7.0,,1,0,85.0,2.0,1,0,0,0
24/13,0.0,28.0,0,1,70.0,2.0,1,0,1,0
24/14,40.0,,1,0,100.0,2.0,0,0,0,1
24А/12,4.0,0.0,1,0,85.0,2.0,1,1,0,0
25/13,5.0,,0,0,100.0,,0,0,0,0
25/14,14.0,14.0,1,0,90.0,2.0,1,0,0,0
26/13,4.0,0.0,1,1,75.0,2.0,1,0,1,0
27/13,0.0,40.0,0,0,80.0,2.0,0,0,1,0
28/13,26.0,,1,1,100.0,,0,1,0,0
28/14,8.0,0.0,0,0,90.0,2.0,0,0,1,0
29/13,0.0,,0,0,95.0,,0,0,0,0
29/14,0.0,0.0,1,0,110.0,2.0,0,0,1,0
2А/12,16.0,30.0,1,1,100.0,2.0,1,0,0,0
30/13,2.0,,0,0,90.0,,0,0,0,0
30/14,0.0,10.0,1,0,80.0,2.0,0,0,0,0
32/14,6.0,,0,0,110.0,,0,0,0,0
33/14,2.0,8.0,1,1,100.0,2.0,0,0,0,0
34/14,0.0,,1,0,100.0,2.0,0,0,0,1
35/14,,6.0,0,0,70.0,1.0,0,0,0,0
37/14,0.0,0.0,1,1,110.0,2.0,0,0,0,0
3А/12,6.0,40.0,1,1,100.0,2.0,1,1,0,0
4А/12,20.0,54.0,1,1,95.0,2.0,0,0,0,0
5А/12,,32.0,1,0,90.0,2.0,1,0,0,0
6А/12,20.0,20.0,1,0,75.0,2.0,1,0,0,0
7А/12,30.0,,1,0,85.0,2.0,0,0,0,0
8А/12,48.0,0.0,0,0,85.0,2.0,1,0,0,0
9А/12,25.0,0.0,1,1,100.0,2.0,1,0,0,0
