pit_id,lat_dd,lon_dd,elevation_m,landform_vegetation,coord_source_file,src_year,in_aoi,has_coordinates
01/13,46.12963888888889,61.552861111111106,71.0,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",morph_2013,2013,True,True
01/14,45.756277777777775,61.54661111111111,36.0,Очень старая залежь,morph_2014_beloe,2014,True,True
02/13,46.1435,61.55755555555555,70.0,Высокие видимые поверхности / полынной растительностью,morph_2013,2013,True,True
02/14,45.71036111111111,61.558416666666666,40.6,Широкая останцовая поверхность / биюргуново-полынная,morph_2014_beloe,2014,True,True
03/14,,,,Болотная западина / тростниково-тамариксовая,morph_2014_beloe,2014,False,False
04/14,,,,Депрессия / высокий кустарник и угнетенный тростник,morph_2014_beloe,2014,False,False
05/14,45.665305555555555,61.69419444444444,42.3,Широкая депрессия / биюргуновая,morph_2014_beloe,2014,True,True
06/13,46.200472222222224,61.550666666666665,72.0,Пологобугристые пески с высокой волнистой поверхностью / эфедрево-полынной растительностью,morph_2013,2013,True,True
07/13,46.14347222222222,61.49341666666667,70.0,Плоская поверхность спускающаяся к р. Сырдарье / эбелеково-полынной растительностью,morph_2013,2013,True,True
07/14,45.71069444444445,61.736222222222224,33.4,Плоская поверхность / тростниковая с чингилем,morph_2014_beloe,2014,True,True
08/13,46.066750000000006,61.10333333333333,65.0,"Выбитые, но закрепленные пески / полынно-осочковой с эбелеком и ирисом растительностью",morph_2013,2013,True,True
08/14,45.663666666666664,61.71058333333334,40.3,Широкая депрессия / Такыр без растительности,morph_2014_beloe,2014,True,True
09/13,46.15313888888889,61.254,55.0,Бугристые пески / джузгуновая с караганой,morph_2013,2013,True,True
09/14,45.60908333333334,61.77733333333333,32.4,Рисовое поле,morph_2014_beloe,2014,True,True
10/13,,,,"Волнистые поверхности, водораздельная часть / полынная растительность",morph_2013,2013,False,False
10А/12,46.029694444444445,60.93655555555555,39.0,"Плоская поверхность / редкими кустиками карабарака, кермека, тамарикса",morph_2012_degradation,2012,True,True
11/13,46.141194444444444,61.42091666666666,50.0,"Склон увала, неогеновые глины / полынная с солянками и эфемерами",morph_2013,2013,True,True
11/14,45.569027777777784,61.75944444444445,31.6,Действующий рисовой массив / поле засорено тростником,morph_2014_beloe,2014,True,True
11А/12,46.05777777777777,60.902944444444444,35.0,"Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",morph_2012,2012,True,True
12/13,46.15247222222222,61.62083333333334,79.0,Высокий берег оз. Камыш-Лобаш / биюргуновой растительностью,morph_2013,2013,True,True
12/14,45.52616666666667,61.75525,31.7,Поверхность отакырена / мелкокустарниковые солянки,morph_2014_beloe,2014,True,True
12А/12,46.02941666666666,60.77802777777778,32.0,"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",morph_2012,2012,True,True
13/13,46.1625,61.622305555555556,88.0,"Плоская высокая поверхность / распаханная грядка, без растительности",morph_2013,2013,True,True
13/14,,,,"Плоская поверхность / саксауловая, фитобугры",morph_2014_beloe,2014,False,False
13А/12,46.01488888888889,60.739333333333335,30.0,"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",morph_2012,2012,True,True
14/13,46.209694444444445,61.62972222222222,78.0,Высокие волнистые однородные поверхности / полынно-эбелековой растительностью,morph_2013,2013,True,True
14/14,45.654805555555555,61.81705555555556,38.7,Рисовое поле / тростник,morph_2014_beloe,2014,True,True
14А/12,46.019416666666665,60.72980555555556,26.0,Плоская поверхность / засохшей солянковой растительностью,morph_2012,2012,True,True
15/13,46.24327777777778,61.75663888888889,101.0,Волнистая высокая равнина / полынной растительностью,morph_2013,2013,True,True
15/14,,,,"За переделами чека / карабарак, колтидум",morph_2014_beloe,2014,False,False
15А/12,46.02136111111111,60.699194444444444,30.0,"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",morph_2012,2012,True,True
16/13,46.24327777777778,61.75663888888889,101.0,"Микропонижение, пятно биюргуна / биюргун",morph_2013,2013,True,True
16/14,45.693194444444444,61.8015,31.2,"Песчаный прирусловый вал / терескен, чингиль, тал, эфемеры, тростник",morph_2014_beloe,2014,True,True
16А/12,45.719722222222224,60.25405555555555,24.0,Плоская поверхность / единичными мелкими солянками,morph_2012,2012,True,True
17/13,46.25958333333333,61.80172222222222,63.0,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,morph_2014_beloe,2013,True,True
17/14,45.66752777777778,61.933527777777776,35.5,"Пойма р. Сырдарья / чингилевый массив, злаки",morph_2014_beloe,2014,True,True
17А/12,45.72475,60.25933333333333,22.0,"Плоская поверхность, широкая ложбина / солянковой растительностью",morph_2012,2012,True,True
18/14,45.69969444444444,61.59225,29.6,Небольшой участок / однолетнесолянковые с тамариксом,morph_2014_beloe,2014,True,True
18А/12,45.73072222222223,60.27125,23.0,Плоская поверхность / единичные кустики солянок,morph_2012,2012,True,True
19/13,46.3815,61.78086111111111,75.0,Увалистые поверхности / полынная растительность,morph_2014_beloe,2013,True,True
19/14,45.684305555555554,61.61361111111111,29.0,Старая залежь,morph_2014_beloe,2014,True,True
19А/12,45.71344444444445,60.293416666666666,20.0,Плоская поверхность / редкие мелкие единичные кустики солянок,morph_2012,2012,True,True
1А/12,46.09297222222222,60.86783333333334,40.0,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",morph_2012_degradation,2012,True,True
20/13,46.367416666666664,61.686249999999994,70.0,"Слабоволнистая равнина / полынная, эбелек, эфемеры",morph_2014_beloe,2013,True,True
