pit_id,src_year,lat_dd,lon_dd,in_aoi,has_coordinates,saxaul_status,label_role,label_strength,label_weight,confidence,evidence_source,role_reason,landform_vegetation,evidence_quote,has_narrative_block
01/13,2013,46.12963888888889,61.552861111111106,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)","Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",True
01/14,2014,45.756277777777775,61.54661111111111,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Очень старая залежь,Очень старая залежь,True
02/13,2013,46.1435,61.55755555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокие видимые поверхности / полынной растительностью,Высокие видимые поверхности / полынной растительностью,True
02/14,2014,45.71036111111111,61.558416666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Широкая останцовая поверхность / биюргуново-полынная,Широкая останцовая поверхность / биюргуново-полынная,True
03/14,2014,,,False,False,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Болотная западина / тростниково-тамариксовая,Болотная западина / тростниково-тамариксовая,True
04/14,2014,,,False,False,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Депрессия / высокий кустарник и угнетенный тростник,Депрессия / высокий кустарник и угнетенный тростник,True
05/14,2014,45.665305555555555,61.69419444444444,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Широкая депрессия / биюргуновая,Широкая депрессия / биюргуновая,True
06/13,2013,46.200472222222224,61.550666666666665,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Пологобугристые пески с высокой волнистой поверхностью / эфедрево-полынной растительностью,Пологобугристые пески с высокой волнистой поверхностью / эфедрево-полынной растительностью,True
07/13,2013,46.14347222222222,61.49341666666667,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность спускающаяся к р. Сырдарье / эбелеково-полынной растительностью,Плоская поверхность спускающаяся к р. Сырдарье / эбелеково-полынной растительностью,True
07/14,2014,45.71069444444445,61.736222222222224,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain",Плоская поверхность / тростниковая с чингилем,Плоская поверхность / тростниковая с чингилем,True
08/13,2013,46.066750000000006,61.10333333333333,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Выбитые, но закрепленные пески / полынно-осочковой с эбелеком и ирисом растительностью","Выбитые, но закрепленные пески / полынно-осочковой с эбелеком и ирисом растительностью",True
08/14,2014,45.663666666666664,61.71058333333334,True,True,absent_recorded,negative,strong,1.0,low,morphology,"genuinely barren ground, no vegetation",Широкая депрессия / Такыр без растительности,Широкая депрессия / Такыр без растительности,True
09/13,2013,46.15313888888889,61.254,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Бугристые пески / джузгуновая с караганой,Бугристые пески / джузгуновая с караганой,True
09/14,2014,45.60908333333334,61.77733333333333,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Рисовое поле,Рисовое поле,True
10/13,2013,,,False,False,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Волнистые поверхности, водораздельная часть / полынная растительность","Волнистые поверхности, водораздельная часть / полынная растительность",True
10А/12,2012,46.029694444444445,60.93655555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность / редкими кустиками карабарака, кермека, тамарикса","Плоская поверхность / редкими кустиками карабарака, кермека, тамарикса",True
11/13,2013,46.141194444444444,61.42091666666666,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Склон увала, неогеновые глины / полынная с солянками и эфемерами","Склон увала, неогеновые глины / полынная с солянками и эфемерами",True
11/14,2014,45.569027777777784,61.75944444444445,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Действующий рисовой массив / поле засорено тростником,Действующий рисовой массив / поле засорено тростником,True
11А/12,2012,46.05777777777777,60.902944444444444,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain","Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)","Ровная морская поверхность / кустарниковой растительностью (в основном - тамарикс, солянки, тростник)",True
12/13,2013,46.15247222222222,61.62083333333334,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Высокий берег оз. Камыш-Лобаш / биюргуновой растительностью,Высокий берег оз. Камыш-Лобаш / биюргуновой растительностью,True
12/14,2014,45.52616666666667,61.75525,True,True,sparse_suppressed,positive,weak,0.6,low,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),Поверхность отакырена / мелкокустарниковые солянки,"Растительность мелкокустарниковые солянки, кое-где сохранились кусты саксаула.",True
12А/12,2012,46.02941666666666,60.77802777777778,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)","Плоская поверхность обсохшего дна моря / изреженной солянковой растительностью (единичные солянки, тамарикс)",True
13/13,2013,46.1625,61.622305555555556,True,True,planted_failed,negative,strong,1.0,high,narrative,documented plantation failure (gold negative),"Плоская высокая поверхность / распаханная грядка, без растительности","Сажали саксаул, ничего прижилось.",True
13/14,2014,,,False,False,present_dominant,positive,strong,1.0,high,both,saxaul established at pit (present_dominant),"Плоская поверхность / саксауловая, фитобугры","Плоская поверхность / саксауловая, фитобугры",True
13А/12,2012,46.01488888888889,60.739333333333335,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса","Плоская поверхность / солянковой растительностью, в отдалении редкие кусты тамарикса",True
14/13,2013,46.209694444444445,61.62972222222222,True,True,sparse_suppressed,positive,weak,0.6,medium,narrative,natural sparse/suppressed saxaul at pit (marginal but supports it),Высокие волнистые однородные поверхности / полынно-эбелековой растительностью,Разрез заложен под полынно-эбелековой с редкими кустиками саксаула растительностью.,True
14/14,2014,45.654805555555555,61.81705555555556,True,True,absent_recorded,exclude,,0.0,low,morphology,"agriculture/ploughed land, not candidate terrain",Рисовое поле / тростник,Рисовое поле / тростник,True
14А/12,2012,46.019416666666665,60.72980555555556,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / засохшей солянковой растительностью,Плоская поверхность / засохшей солянковой растительностью,True
15/13,2013,46.24327777777778,61.75663888888889,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Волнистая высокая равнина / полынной растительностью,Волнистая высокая равнина / полынной растительностью,True
15/14,2014,,,False,False,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"За переделами чека / карабарак, колтидум","За переделами чека / карабарак, колтидум",True
15А/12,2012,46.02136111111111,60.699194444444444,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)","Плоская поверхность / солянково-кустарниковой растительностью (тамарикс, рогоглавник)",True
16/13,2013,46.24327777777778,61.75663888888889,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Микропонижение, пятно биюргуна / биюргун","Микропонижение, пятно биюргуна / биюргун",True
16/14,2014,45.693194444444444,61.8015,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain","Песчаный прирусловый вал / терескен, чингиль, тал, эфемеры, тростник","Песчаный прирусловый вал / терескен, чингиль, тал, эфемеры, тростник",True
16А/12,2012,45.719722222222224,60.25405555555555,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Плоская поверхность / единичными мелкими солянками,Плоская поверхность / единичными мелкими солянками,True
17/13,2013,46.25958333333333,61.80172222222222,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,True
17/14,2014,45.66752777777778,61.933527777777776,True,True,absent_recorded,exclude,,0.0,low,morphology,"floodplain/reed/chingil wetland, not candidate terrain","Пойма р. Сырдарья / чингилевый массив, злаки","Пойма р. Сырдарья / чингилевый массив, злаки",True
17А/12,2012,45.72475,60.25933333333333,True,True,absent_recorded,negative,weak,0.4,low,morphology,vegetated non-saxaul community (not confident absence),"Плоская поверхность, широкая ложбина / солянковой растительностью","Плоская поверхность, широкая ложбина / солянковой растительностью",True
