pit_id,depth_top_cm,depth_bottom_cm,humus_pct,n_total_pct,c_n_ratio,co2_pct,caco3_pct,caso4_pct,exch_ca,exch_mg,exch_na,exch_k,exch_sum,p2o5_mobile,k2o_mobile,n_hydrolyzable,ph_water,src_year,salt_sum_salts_pct,salt_alk_hco3_pct,salt_alk_co3_pct,salt_cl_pct,salt_so4_pct,salt_ca_pct,salt_mg_pct,salt_na_pct,salt_k_pct,sand_1_0p25,sand_0p25_0p05,silt_0p05_0p01,silt_0p01_0p005,silt_0p005_0p001,clay_lt0p001,physical_clay_lt0p01,hygroscopic_water_pct,sand_pct,silt_pct,clay_pct,lat_dd,lon_dd,elevation_m,in_aoi,has_coordinates,coord_provenance,georeferenced
01/13,0.0,3.0,0.13,0.028,2.7,0.8,1.8,,4.0,2.0,1.29,0.27,7.56,,,,8.3,2013,0.087,0.029,,0.015,0.015,0.004,0.001,0.019,0.004,13.79,15.27,37.49,9.27,10.08,14.11,33.46,,29.06,56.84,14.11,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/13,4.0,14.0,0.27,0.014,11.2,0.9,2.0,,4.25,2.25,2.6,0.11,9.21,,,,9.2,2013,,,,,,,,,,,,,,,,,,,,,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/13,17.0,27.0,0.43,0.028,8.9,1.0,2.2,,4.25,3.25,4.95,0.07,12.52,,,,9.0,2013,,,,,,,,,,,,,,,,,,,,,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/13,30.0,40.0,0.9,0.014,37.3,0.6,1.4,,10.0,5.0,2.48,0.03,17.51,,,,8.1,2013,,,,,,,,,,,,,,,,,,,,,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/13,50.0,60.0,,,,1.0,2.2,,,,,,,,,,7.9,2013,,,,,,,,,,,,,,,,,,,,,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/13,80.0,90.0,,,,,,,,,,,,,,,7.7,2013,,,,,,,,,,,,,,,,,,,,,46.12963888888889,61.552861111111106,71.0,True,True,surveyed,True
01/14,0.0,7.0,0.41,0.014,17.0,5.3,12.1,,3.5,1.75,0.35,0.21,5.8,74.0,190.0,33.6,8.6,2014,0.075,0.022,,0.003,0.027,0.011,0.001,0.005,0.006,1.34,91.03,3.21,1.6,1.2,1.6,4.41,0.28,92.37,6.010000000000001,1.6,45.756277777777775,61.54661111111111,36.0,True,True,surveyed,True
01/14,10.0,20.0,0.34,0.014,14.1,5.6,12.7,,2.5,1.75,0.2,0.21,4.7,22.0,170.0,22.4,9.3,2014,,,,,,,,,,,,,,,,,,,,,45.756277777777775,61.54661111111111,36.0,True,True,surveyed,True
01/14,25.0,35.0,0.31,0.014,12.8,8.0,18.2,,8.0,1.75,0.38,0.44,10.6,7.0,470.0,19.6,8.6,2014,,,,,,,,,,,,,,,,,,,,,45.756277777777775,61.54661111111111,36.0,True,True,surveyed,True
01/14,45.0,55.0,,,,7.5,17.0,,,,,,,,,,8.8,2014,,,,,,,,,,,,,,,,,,,,,45.756277777777775,61.54661111111111,36.0,True,True,surveyed,True
