pit_id,lat_dd,lon_dd,block,salt_pct,loo_p_saline,spatial_p_saline
01/13,46.12963888888889,61.55286111111111,0,0.087,0.3509,0.4024
01/14,45.756277777777775,61.54661111111111,1,0.075,0.3805,0.375
02/13,46.1435,61.55755555555555,0,0.089,0.3307,0.3881
02/14,45.71036111111111,61.558416666666666,1,0.056,0.3553,0.3472
05/14,45.66530555555556,61.69419444444444,1,0.07,0.3573,0.3495
06/13,46.200472222222224,61.550666666666665,0,0.058,0.3201,0.3804
07/13,46.14347222222222,61.49341666666667,0,0.189,0.334,0.3906
07/14,45.71069444444445,61.736222222222224,1,5.154,0.4979,0.5462
08/13,46.066750000000006,61.10333333333333,2,0.048,0.3413,0.3215
08/14,45.66366666666666,61.71058333333334,1,0.43,0.4667,0.4592
09/13,46.15313888888889,61.254,2,0.031,0.3633,0.3386
09/14,45.60908333333334,61.77733333333333,3,0.547,0.4805,0.709
10А/12,46.029694444444445,60.93655555555555,2,14.839,0.3828,0.364
11/13,46.14119444444445,61.42091666666666,0,0.05,0.352,0.4032
11/14,45.56902777777778,61.75944444444445,3,0.791,0.9867,0.9961
11А/12,46.05777777777777,60.90294444444445,2,1.455,0.3606,0.348
12/13,46.15247222222222,61.62083333333334,0,0.071,0.4022,0.4355
12/14,45.52616666666667,61.75525,3,0.311,0.4031,0.4992
12А/12,46.02941666666666,60.77802777777778,4,10.67,0.3783,0.3492
13/13,46.1625,61.62230555555556,0,1.004,0.3442,0.4094
13А/12,46.01488888888889,60.739333333333335,4,1.985,0.3837,0.3544
14/13,46.209694444444445,61.62972222222222,0,0.046,0.3395,0.3945
14/14,45.65480555555556,61.81705555555556,3,0.891,0.3892,0.4536
14А/12,46.019416666666665,60.72980555555556,4,7.714,0.3799,0.3508
15/13,46.24327777777778,61.75663888888889,5,0.035,0.3151,0.347
15А/12,46.02136111111111,60.69919444444445,4,1.779,0.3718,0.3432
16/13,46.24327777777778,61.75663888888889,5,0.086,0.3151,0.347
16/14,45.69319444444445,61.8015,3,0.065,0.4152,0.5376
16А/12,45.719722222222224,60.25405555555555,6,5.516,0.43,0.338
17/13,46.25958333333333,61.80172222222222,5,0.103,0.4111,0.4281
17/14,45.66752777777778,61.933527777777776,3,0.3809999999999999,0.3982,0.4833
17А/12,45.72475,60.25933333333333,6,4.681,0.4136,0.3281
18/14,45.69969444444444,61.59225,1,1.825,0.4227,0.4399
18А/12,45.73072222222223,60.27125,6,17.77,0.4137,0.3282
19/13,46.3815,61.78086111111111,5,0.06,0.3864,0.409
19/14,45.684305555555554,61.61361111111111,1,0.558,0.3233,0.3105
19А/12,45.71344444444445,60.293416666666666,6,7.769,0.4082,0.3251
1А/12,46.09297222222222,60.86783333333334,2,0.093,0.3858,0.3554
20/13,46.36741666666666,61.68625,5,0.041,0.3174,0.3492
20А/12,45.70897222222222,60.31686111111112,6,8.054,0.4336,0.3402
21/13,46.49675,61.62433333333333,7,0.032,0.328,0.3365
21/14,45.63622222222222,61.61516666666667,1,0.043,0.3609,0.3536
22А/12,45.69769444444445,60.42080555555555,6,1.235,0.3819,0.3107
23/14,45.60194444444445,61.563027777777776,1,0.073,0.3687,0.3621
23А/12,45.77761111111111,60.46455555555556,6,2.027,0.4076,0.3247
24/13,46.37130555555556,61.57161111111112,7,0.087,0.3325,0.3409
24/14,45.60194444444445,61.56366975961089,1,0.143,0.3646,0.3576
24А/12,45.78938888888889,60.4445,6,7.701,0.3756,0.3075
25/13,46.32147222222223,61.49097222222223,8,0.046,0.3525,0.3525
26/13,46.22586111111112,61.39,0,0.094,0.3429,0.3969
27/13,46.22586111111112,61.39,0,0.043,0.3429,0.3969
28/13,46.21738888888889,61.27475,9,0.049,0.331,0.331
28/14,45.79738888888889,61.70741666666667,1,2.635,0.3887,0.3998
29/13,46.17625,61.25863888888889,2,0.042,0.3204,0.3046
29/14,45.72175,61.70658333333333,1,3.759,0.3995,0.412
2А/12,46.08372222222223,60.86691666666667,2,0.549,0.4086,0.3715
30/13,46.08377777777778,61.16363888888889,2,0.051,0.3279,0.3108
30/14,45.83161111111112,61.717777777777776,1,0.742,0.7452,0.6398
32/14,45.78322222222222,61.82222222222222,3,0.041,0.3407,0.291
33/14,45.81388888888888,61.84797222222223,10,2.926,0.3536,0.3544
34/14,45.80422222222222,61.93469444444444,10,0.657,0.7073,0.707
35/14,45.79880555555555,61.56722222222223,1,1.516,0.3526,0.3619
37/14,45.84022222222222,61.56077777777777,1,4.007,0.3299,0.3403
3А/12,46.08502777777778,60.86188888888889,2,5.681,0.3693,0.3542
4А/12,46.06888888888889,60.934666666666665,2,0.165,0.3563,0.3333
5А/12,46.08605555555556,60.95527777777778,2,1.7250000000000003,0.3823,0.3637
6А/12,46.03438888888888,61.03402777777777,2,1.301,0.3925,0.3714
7А/12,46.03138888888889,61.01616666666666,2,1.559,0.3548,0.3441
8А/12,46.01891666666666,60.98947222222223,2,0.093,0.3581,0.3347
9А/12,46.03363888888889,60.946888888888886,2,3.647,0.3989,0.3763
