ID Разреза,Глубина образца (см),Гумус (%),"Азот общий (N, %)",CO2 карбонатов (%),pH водной суспензии,Плотный остаток (%),HCO3-,Cl-,SO42-,Ca2+,Mg2+,Na+ + K+,Механический состав (% фракций песка/пыли/ила или тип),Источник (Табл. № / Стр.)
21/14,90-100,н/д,н/д,"0,6",н/д,"0,407","0,015 / 0,25","0,003 / 0,08","0,269 / 5,61","0,10 / 5,00","0,006 / 0,49","0,005 / 0,22 (Na) / 0,009 / 0,23 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
23/14,0-7,"1,34","0,084","9,3",н/д,"0,073","0,002 / 0,03","0,001 / 0,03","0,009 / 0,18","0,006 / 0,3","0,001 / 0,08","0,007 / 0,30 (Na) / 0,008 / 0,2 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
23/14,7-17,"1,24","0,070","10,3",н/д,"0,092","0,001 / 0,11","0,004 / 0,11","0,019 / 0,4","0,011 / 0,55","0,001 / 0,08","0,008 / 0,35 (Na) / 0,008 / 0,2 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
23/14,17-25,"0,52","0,070","4,3",н/д,"0,582","0,012 / 0,08","0,003 / 0,08","0,374 / 7,8","0,148 / 7,4","0,012 / 0,16","0,01 / 0,43 (Na) / 0,011 / 0,28 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 369"
23/14,26-36,н/д,н/д,"9,7",н/д,"0,29","0,014 / 0,11","0,004 / 0,11","0,182 / 3,8","0,048 / 2,4","0,014 / 1,15","0,012 / 0,52 (Na) / 0,008 / 0,2 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 369"
23/14,70-80,н/д,н/д,"9,9",н/д,"0,408","0,02 / 0,9","0,032 / 0,9","0,23 / 4,8","0,014 / 0,7","0,02 / 1,64","0,084 / 3,65 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 369"
24/14,0-10,"1,02","0,084","7,0",н/д,"0,143","0,014 / 0,33",нет / нет,"0,075 / 1,56","0,014 / 0,7","0,003 / 0,25","0,008 / 0,35 (Na) / 0,023 / 0,59 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 370"
24/14,12-22,"0,96","0,056","9,9",н/д,"0,084","0,008 / 0,39","0,001 / 0,03","0,031 / 0,65","0,008 / 0,4","0,001 / 0,08","0,006 / 0,26 (Na) / 0,013 / 0,33 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 370"
24/14,27-37,"0,69","0,028","14,3",н/д,"0,107","0,013 / 0,36","0,004 / 0,11","0,049 / 1,03","0,013 / 0,65","0,002 / 0,16","0,014 / 0,61 (Na) / 0,003 / 0,08 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 370"
24/14,50-60,н/д,н/д,"4,3",н/д,"0,121","0,011 / 0,39","0,013 / 0,37","0,048 / 1,0","0,011 / 0,55","0,005 / 0,41","0,016 / 0,7 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 370"
24/14,100-110,н/д,н/д,"9,3",н/д,"0,145","0,015 / 0,44","0,013 / 0,37","0,063 / 1,32","0,015 / 0,75","0,007 / 0,58","0,016 / 0,7 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 348, 370"
25/14,0-7,"0,48","0,028","9,9","8,6","0,04","0,004 / 0,28","0,001 / 0,03","0,01 / 0,20","0,004 / 0,2","0,001 / 0,08","0,003 / 0,13 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
25/14,7-14,"0,93","0,056","9,6","8,8","0,407","0,052 / 0,33","0,037 / 1,04","0,221 / 4,6","0,052 / 2,6","0,006 / 0,49","0,059 / 2,57 (Na) / 0,012 / 0,31 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
25/14,14-23,"0,86","0,056","8,9","8,6","0,98","0,057 / 0,28","0,376 / 10,6","0,258 / 5,38","0,057 / 2,85","0,043 / 3,54","0,224 / 9,74 (Na) / 0,005 / 0,13 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
25/14,30-40,"0,79","0,042","10,9","8,9","1,50","0,095 / 0,2","0,525 / 14,81","0,479 / 9,97","0,095 / 4,75","0,087 / 7,15","0,299 / 13 (Na) / 0,003 / 0,08 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
25/14,70-80,н/д,н/д,"9,1","8,7","2,113","0,095 / 0,16","0,398 / 11,22","1,072 / 22,33","0,095 / 4,75","0,145 / 11,92","0,39 / 16,96 (Na) / 0,003 / 0,08 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 369"
28/14,0-8,"2,03","0,126","9,3",н/д,"2,635","0,19 / 0,52","0,089 / 2,51","1,719 / 35,82","0,19 / 9,5","0,087 / 7,15","0,5 / 21,74 (Na) / 0,018 / 0,46 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 349, 371"
28/14,8-18,"1,21","0,098","7,2",н/д,"1,609","0,048 / 0,36","0,391 / 11,03","0,632 / 13,16","0,048 / 2,4",нет / нет,"0,5 / 21,74 (Na) / 0,016 / 0,41 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 349, 371"
28/14,20-30,"0,86","0,042","11,9",н/д,"2,699","0,048 / 0,2","0,895 / 25,24","0,975 / 20,31","0,048 / 2,4","0,26 / 21,38","0,5 / 21,74 (Na) / 0,009 / 0,23 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 349, 371"
28/14,31-41,н/д,н/д,"9,4",н/д,"1,806","0,048 / 0,25","0,937 / 26,42","0,236 / 4,92","0,048 / 2,4","0,116 / 9,54","0,449 / 19,52 (Na) / 0,005 / 0,13 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 349, 371"
28/14,80-90,н/д,н/д,"8,9",н/д,"0,973","0,095 / 0,16","0,149 / 4,2","0,509 / 10,6","0,095 / 4,75","0,029 / 2,38","0,179 / 7,78 (Na) / 0,002 / 0,05 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 349, 371"
29/14,0-8,"1,10","0,042","15,2",н/д,"3,759","0,286 / 0,2","0,838 / 23,63","1,656 / 34,51","0,286 / 14,3","0,058 / 4,77","0,895 / 38,91 (Na) / 0,014 / 0,36 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 372"
29/14,9-19,"0,71","0,028","14,7",н/д,"1,224","0,013 / 0,28","0,497 / 14,02","0,265 / 5,53","0,013 / 0,65","0,013 / 1,07","0,413 / 17,96 (Na) / 0,006 / 0,15 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 372"
29/14,20-30,н/д,н/д,"8,0",н/д,"2,322","0,021 / 0,24","0,70 / 19,73","0,803 / 16,725","0,021 / 1,05","0,043 / 3,5","0,737 / 32,03 (Na) / 0,005 / 0,13 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 372"
29/14,30-40,н/д,н/д,"8,2",н/д,"3,419","0,029 / 0,2","0,902 / 25,44","1,34 / 27,92","0,029 / 1,45","0,072 / 5,92","1,06 / 46,09 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 372"
29/14,100-110,н/д,н/д,"7,5",н/д,"1,747","0,062 / 0,2","0,724 / 20,42","0,398 / 8,3","0,062 / 3,1","0,049 / 4,03","0,5 / 21,74 (Na) / 0,002 / 0,05 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 372"
30/14,0-10,"5,23","0,308","9,8",н/д,"0,742","0,095 / 0,44","0,042 / 1,18","0,461 / 9,61","0,095 / 4,75","0,041 / 3,37","0,065 / 2,83 (Na) / 0,011 / 0,28 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 368"
30/14,10-20,"3,45","0,182","11,0",н/д,"0,596","0,048 / 0,36","0,058 / 1,64","0,34 / 7,08","0,048 / 2,4","0,032 / 2,63","0,089 / 3,87 (Na) / 0,007 / 0,18 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 368"
30/14,24-34,н/д,н/д,"9,4",н/д,"0,708","0,057 / 0,39","0,068 / 1,92","0,411 / 8,57","0,057 / 2,85","0,043 / 3,54","0,101 / 4,39 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 368"
30/14,70-80,н/д,н/д,"9,7",н/д,"0,57","0,029 / 0,33","0,051 / 1,44","0,328 / 6,83","0,029 / 1,45","0,026 / 2,14","0,114 / 4,96 (Na) / 0,002 / 0,05 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 347, 368"
32/14,0-6,"0,21","0,014","8,7",н/д,"0,041","0,013 / 0,25","0,001 / 0,03","0,013 / 0,27","0,006 / 0,3","0,001 / 0,08","0,002 / 0,09 (Na) / 0,003 / 0,08 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
32/14,6-16,"0,52","0,014","21,5",н/д,"0,037","0,001 / 0,36","0,003 / 0,08","0,001 / 0,03","0,004 / 0,2","0,001 / 0,08","0,002 / 0,09 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
32/14,18-28,"0,24","0,014","9,9",н/д,"0,044","0,006 / 0,39","0,001 / 0,03","0,006 / 0,13","0,004 / 0,2","0,001 / 0,08","0,004 / 0,17 (Na) / 0,004 / 0,1 (K)",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
