ID Разреза,Глубина образца (см),Гумус (%),"Азот общий (N, %)",CO2 карбонатов (%),pH водной суспензии,Плотный остаток (%),HCO3-,Cl-,SO42-,Ca2+,Mg2+,Na+ + K+,Механический состав (% фракций песка/пыли/ила или тип),Источник (Табл. № / Стр.)
34/14,40-50,"0,76","0,028","15,7",н/д,"0,102","0,01 / 0,44","0,011 / 0,31","0,034 / 0,70","0,01 / 0,50","0,003 / 0,25","0,017 / 0,70",н/д,"Табл. Б.3, Б.6 / Стр. 351, 373"
34/14,100-110,н/д,н/д,"8,1",н/д,"0,092","0,024 / 0,39","0,007 / 0,20","0,034 / 0,71","0,01 / 0,50","0,002 / 0,16","0,015 / 0,64",н/д,"Табл. Б.3, Б.6 / Стр. 351, 373"
35/14,0-6,"2,07","0,112","10,7",н/д,"1,516","0,024 / 0,39","0,006 / 0,17","1,07 / 22,30","0,286 / 14,30","0,087 / 7,16","0,043 / 1,41",н/д,"Табл. Б.3, Б.6 / Стр. 344, 365"
35/14,7-17,"1,24","0,070","10,3",н/д,"0,871","0,02 / 0,33","0,011 / 0,31","0,585 / 12,18","0,143 / 7,15","0,029 / 2,38","0,083 / 3,29",н/д,"Табл. Б.3, Б.6 / Стр. 344, 365"
35/14,20-30,"0,79","0,056","8,2",н/д,"1,124","0,017 / 0,28","0,186 / 5,25","0,597 / 12,43","0,095 / 4,75","0,087 / 7,15","0,142 / 6,06",н/д,"Табл. Б.3, Б.6 / Стр. 344, 365"
35/14,37-47,н/д,н/д,"2,4",н/д,"0,609","0,02 / 0,33","0,171 / 4,82","0,232 / 4,84","0,038 / 1,90","0,046 / 3,78","0,102 / 4,31",н/д,"Табл. Б.3, Б.6 / Стр. 344, 365"
35/14,60-70,н/д,н/д,"0,7",н/д,"0,623","0,017 / 0,28","0,149 / 4,20","0,267 / 5,57","0,048 / 2,40","0,041 / 3,37","0,101 / 4,28",н/д,"Табл. Б.3, Б.6 / Стр. 344, 365"
37/14,0-10,"1,79","0,070","14,8",н/д,"4,007","0,02 / 0,33","0,724 / 20,42","2,04 / 42,50","0,238 / 11,90","0,231 / 19,00","0,754 / 32,35",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
37/14,10-20,"0,86","0,028","17,8",н/д,"1,480","0,017 / 0,28","0,26 / 6,37","0,791 / 16,48","0,095 / 4,75","0,087 / 7,15","0,264 / 11,23",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
37/14,21-30,"0,45","0,014","18,6",н/д,"1,378","0,02 / 0,33","0,166 / 4,68","0,787 / 16,39","0,095 / 4,75","0,087 / 7,15","0,223 / 9,50",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
37/14,32-42,н/д,н/д,"1,2",н/д,"1,452","0,017 / 0,28","0,102 / 2,88","0,917 / 19,10","0,143 / 7,15","0,087 / 7,15","0,186 / 7,96",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
37/14,100-110,н/д,н/д,"0,9",н/д,"0,986","0,015 / 0,25","0,076 / 2,14","0,612 / 12,75","0,095 / 4,75","0,058 / 4,77","0,130 / 5,62",н/д,"Табл. Б.3, Б.6 / Стр. 345, 366"
