ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,0,6,н/д,Серый,"рыхлый, незакрепленный песок",с поверхности,мелкими корешками,сухой,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 189 / Разрез 1А/12
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,6,12,н/д,"Серый, чуть темнее предыдущего","рыхлый, песок",с поверхности,мелкими корешками солянок,сухой,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 190 / Разрез 1А/12
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,12,28,н/д,Серый с многочисленными ржавыми пятнами,"уплотненный, плитчатый, суглинистый",с поверхности,"мелкокорешковатый (корней больше, чем в предыдущих горизонтах)",свежий,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 190 / Разрез 1А/12
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,28,38,н/д,Серый,"плотный, комковато-плитчатый, тяжеловатый средний суглинок с примесью песка",с поверхности,прожилками солей,слабоувлажненный,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 191 / Разрез 1А/12
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,38,55,н/д,"Такой же, но более бурее","плотный, комковато-плитчатый, тяжеловатый средний суглинок с примесью песка",с поверхности,с большим содержанием солей,слабоувлажненный,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 191 / Разрез 1А/12
1А/12,"46о 05' 34,7""","60о 52' 04,2""",40,55,80,н/д,Почти бурый от ржавых пятен,"плотный, среднесуглинистый",с поверхности,"многочисленными прожилками солей, почти без корешков",слабоувлажненный,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",Стр. 191 / Разрез 1А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,0,6,н/д,Палево-серая,"уплотненная корка с пылью, легкосуглинистая",с поверхности,корешковатая,сухая,Плоская равнина / солянковой растительностью,Стр. 192 / Разрез 2А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,6,16,н/д,Серый,"рыхлый, супесчаный",с поверхности,многочисленными мелкими корешками солянок,сухой,Плоская равнина / солянковой растительностью,Стр. 192 / Разрез 2А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,16,30,н/д,Серый с немногочисленными ржавыми пятнами,"уплотненный, крупитчатый, среднесуглинистый",с поверхности,слабокорешковатый,свежий,Плоская равнина / солянковой растительностью,Стр. 192 / Разрез 2А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,30,50,н/д,Пестрый от многочисленных ржавых пятен,"плитчатый, среднесуглинистый",с поверхности,"мелкокорешковатый, со среднечисленным содержанием солей",слабоувлажненный,Плоская равнина / солянковой растительностью,Стр. 193 / Разрез 2А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,50,70,н/д,Сизовато-серый с многочисленными ржавыми пятнами,"уплотненный, глыбково-орешковатый, суглинистый",с поверхности,со среднечисленным количеством солей,слабоувлажненный,Плоская равнина / солянковой растительностью,Стр. 193 / Разрез 2А/12
2А/12,"46о 05' 01,4""","60о 52' 00,9""",40,70,100,н/д,Подобен предыдущему по цвету,"более плотный, глыбково-крупно-ореховатый, тяжелый суглинок с супесью",с поверхности,редкими видимыми выделениями солей,слабоувлажненный,Плоская равнина / солянковой растительностью,Стр. 193 / Разрез 2А/12
3А/12,"46о 05' 06,1""","60о 51' 42,8""",37,0,6,н/д,Палево-серая,плотная тяжелосуглинистая корка,с поверхности,"вкраплениями ракушечника, в нижней части мелкие корешки",сухая,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Стр. 195 / Разрез 3А/12
3А/12,"46о 05' 06,1""","60о 51' 42,8""",37,6,16,н/д,Серый со среднечисленными ржавыми пятнами,"уплотненный, непрочно-комковато-пылеватый, среднесуглинистый",с поверхности,н/д,свежий,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Стр. 195 / Разрез 3А/12
3А/12,"46о 05' 06,1""","60о 51' 42,8""",37,16,40,н/д,Сизовато-серый буроватый от ржавых пятен,"плотный, среднеорешковатый, тяжелосуглинистый или глинистый",с поверхности,немногочисленными мелкими корешками,слабоувлажненный,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Стр. 195 / Разрез 3А/12
3А/12,"46о 05' 06,1""","60о 51' 42,8""",37,40,60,н/д,Серо-буроватый от ржавых пятен,"плотный, тяжелосуглинистый или глинистый",с поверхности,среднечисленными видимыми выделениями солей,увлажненный,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Стр. 195 / Разрез 3А/12
3А/12,"46о 05' 06,1""","60о 51' 42,8""",37,60,100,н/д,Серовато-сизоватый с немногочисленными ржавыми пятнами,"глыбково-комковатый, глинистый",с поверхности,н/д,н/д,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,Стр. 196 / Разрез 3А/12
4А/12,"46о 04' 08,0""","60о 56' 04,8""",47,0,5,н/д,Серый,"слабоуплотненный, непрочно-комковато-пылеватый, легкосуглинистый",с поверхности,слабо- и мелкокорешковатый,сухой,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 197 / Разрез 4А/12
4А/12,"46о 04' 08,0""","60о 56' 04,8""",47,5,20,н/д,Серый со среднечисленными ржавыми пятнами,"плотный, пластинчатый, тяжеловатый средний суглинок",с поверхности,слабокорешковатый,сухой,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 197 / Разрез 4А/12
4А/12,"46о 04' 08,0""","60о 56' 04,8""",47,20,32,н/д,Серовато-сизый,"уплотненный, непрочно-комковатый (орешковатый), среднесуглинистый",с поверхности,слабокорешковатый,свежий,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 197 / Разрез 4А/12
4А/12,"46о 04' 08,0""","60о 56' 04,8""",47,32,54,н/д,Серовато-сизый со среднечисленными вкраплениями ржавых пятен,"уплотненный, глыбково-комковатый с орешками, тяжелосуглинистый",с поверхности,н/д,слабоувлажненный,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 198 / Разрез 4А/12
4А/12,"46о 04' 08,0""","60о 56' 04,8""",47,54,95,н/д,Серовато-сизый буроватый,"уплотненный, глыбково-комковатый, тяжелосуглинистый",с поверхности,"среднечисленными видимыми выделениями солей, с глубиной увеличиваются ржавые пятна",слабоувлажненный,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 198 / Разрез 4А/12
5А/12,"46о 05' 09,8""","60о 57' 19,0""",51,0,6,н/д,Серая,"корка плотная с редкими порами, подкорка пороховидная, рыхлая, среднесуглинистая",с поверхности,почти без корешков,сухая,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 199 / Разрез 5А/12
5А/12,"46о 05' 09,8""","60о 57' 19,0""",51,6,18,н/д,Серовато-бурый от ржавых пятен,"слабоуплотненный, непрочно-комковато-слоистый с пылью, среднесуглинистый",с поверхности,н/д,сухой,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 199 / Разрез 5А/12
5А/12,"46о 05' 09,8""","60о 57' 19,0""",51,18,32,н/д,Серовато-бурый от ржавых пятен,"слабоуплотненный, почти рыхлый, непрочно-комковатый, песчанистый, легкосуглинистый",с поверхности,н/д,сухой,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 200 / Разрез 5А/12
5А/12,"46о 05' 09,8""","60о 57' 19,0""",51,32,48,н/д,Бурый с многочисленными ржавыми пятнами,"непрочно-комковатый, легкосуглинистый",с поверхности,немногочисленными выделениями солей,слабоувлажненный,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 200 / Разрез 5А/12
5А/12,"46о 05' 09,8""","60о 57' 19,0""",51,48,90,н/д,Бурый,"уплотненный, комковато-пластинчатый, легкосуглинистый",с поверхности,н/д,слабоувлажненный,Плоская поверхность / кустарниково-солянковой растительностью,Стр. 200 / Разрез 5А/12
6А/12,"46о 02' 03,8""","61о 02' 02,5""",48,0,3,н/д,Серая,"довольно плотная корка, легковатая среднесуглинистая",с поверхности,н/д,сухая,Плоская поверхность / солянково-кустарниковой растительностью,Стр. 201 / Разрез 6А/12
6А/12,"46о 02' 03,8""","61о 02' 02,5""",48,3,10,н/д,Буровато-серый с многочисленными ржавыми пятнами,"слабоуплотненный, непрочно-комковато-пороховидный, легковатый средний суглинок",с поверхности,н/д,сухой,Плоская поверхность / солянково-кустарниковой растительностью,Стр. 201 / Разрез 6А/12
6А/12,"46о 02' 03,8""","61о 02' 02,5""",48,10,20,н/д,Палево-серый с многочисленными ржавыми пятнами,"слабоуплотненный, пластинчатый, среднесуглинистый",с поверхности,корешковатый,сухой,Плоская поверхность / солянково-кустарниковой растительностью,Стр. 201 / Разрез 6А/12
6А/12,"46о 02' 03,8""","61о 02' 02,5""",48,20,40,н/д,Бурый с ржавыми пятнами,"рыхлый, песчанистый горизонт",с поверхности,"блестками солей, слабокорешковатый",свежий,Плоская поверхность / солянково-кустарниковой растительностью,Стр. 202 / Разрез 6А/12
6А/12,"46о 02' 03,8""","61о 02' 02,5""",48,40,75,н/д,Серовато-бурый с ржавыми пятнами,"рыхлый, мелкий песок",с поверхности,"корни резко уменьшаются, блестками солей",свежий,Плоская поверхность / солянково-кустарниковой растительностью,Стр. 202 / Разрез 6А/12
7А/12,"46о 01' 53,0""","61о 00' 58,2""",50,0,9,н/д,Темно-коричневый,"органогенный горизонт, легкого механического состава",с поверхности,остатки тростника,н/д,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Стр. 203 / Разрез 7А/12
7А/12,"46о 01' 53,0""","61о 00' 58,2""",50,9,20,н/д,Палево-серый с многочисленными ржавыми пятнами,"уплотненный, пластинчатый, легкосуглинистый",с поверхности,н/д,сухой,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Стр. 203 / Разрез 7А/12
7А/12,"46о 01' 53,0""","61о 00' 58,2""",50,20,30,н/д,Палево-серый с многочисленными ржавыми пятнами,"слабоуплотненный, непрочно-комковатый, супесчаный",с поверхности,н/д,сухой,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Стр. 203 / Разрез 7А/12
7А/12,"46о 01' 53,0""","61о 00' 58,2""",50,30,50,н/д,Палево-бурый с многочисленными ржавыми пятнами,"слабоуплотненый (почти рыхлый), супесчаный",с поверхности,н/д,свежий,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Стр. 204 / Разрез 7А/12
7А/12,"46о 01' 53,0""","61о 00' 58,2""",50,50,85,н/д,Желтовато-бурый с многочисленными ржавыми пятнами,рыхлый песок,с поверхности,н/д,свежий,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,Стр. 204 / Разрез 7А/12
8А/12,"46о 01' 08,1""","60о 59' 22,1""",47,0,2(4),н/д,Серый,"уплотненный, непрочно-корковый песок",с поверхности,кристаллические соли на поверхности,сухой,"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",Стр. 205 / Разрез 8А/12
8А/12,"46о 01' 08,1""","60о 59' 22,1""",47,2(4),11,н/д,Серый,почти рыхлый эоловый песок,с поверхности,н/д,сухой,"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",Стр. 205 / Разрез 8А/12
8А/12,"46о 01' 08,1""","60о 59' 22,1""",47,11,25,н/д,Палево-желтый,"рыхлый, с непрочными комочками морской песок",не вскипает,н/д,сухой,"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",Стр. 205 / Разрез 8А/12
8А/12,"46о 01' 08,1""","60о 59' 22,1""",47,25,48,н/д,Палево-желтый,рыхлый морской песок,не вскипает,н/д,слабоувлажненный,"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",Стр. 206 / Разрез 8А/12
