ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,0,3,н/д,Светло-серая,"рыхлая корочка, среднесуглинистая",с поверхности,соли с 28 см и до дна,сухая,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 236-237 / Разрез 01/13
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,3,14,н/д,Буро-коричневый,"плотный, глыбковый с вертикальными трещинами, тяжелосуглинистый",с поверхности,н/д,свежий,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 237 / Разрез 01/13
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,15,28,н/д,Желто-бурый,"неясно-комковатый, среднесуглинистый",с поверхности,н/д,слабоувлажненный,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 237 / Разрез 01/13
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,28,42,н/д,Коричнево-бурый,"уплотненный, тяжелосуглинистый",с поверхности,с жилками солей,свежий,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 237 / Разрез 01/13
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,42,65,н/д,Грязно-бурый,"глыбковый, среднесуглинистый",с поверхности,с многочисленными солями,н/д,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 237-238 / Разрез 01/13
01/13,"46о 07' 46,7""","61о 33' 10,3""",71,62,90,н/д,Желто-бурый,супесчаный,с поверхности,н/д,свежий,"Волнистая равнина к северу от пос. Аманоткель / полынно-итсигековой растительностью (эфемеры, осочка)",Стр. 238 / Разрез 01/13
02/13,"46о 08' 36,6""","61о 33' 27,2""",70,0,4,А1,Светло-серая слегка буроватая,"рыхлая, легкосуглинистая корочка",с поверхности,жилки карбонатов с 65 см,н/д,Высокие видимые поверхности / полынной растительностью,Стр. 238-239 / Разрез 02/13
02/13,"46о 08' 36,6""","61о 33' 27,2""",70,4,18,АВ,Бурый,"слабоуплотненный, пылевато-комковатый, среднесуглинистый",с поверхности,н/д,свежий,Высокие видимые поверхности / полынной растительностью,Стр. 239 / Разрез 02/13
02/13,"46о 08' 36,6""","61о 33' 27,2""",70,18,37,В1,Ярко-бурый,"слабоуплотненный, неясно-комковатый, среднесуглинистый",с поверхности,н/д,свежий,Высокие видимые поверхности / полынной растительностью,Стр. 239 / Разрез 02/13
02/13,"46о 08' 36,6""","61о 33' 27,2""",70,37,53,н/д,Желто-бурая,слабоуплотненная супесь,с поверхности,н/д,свежая,Высокие видимые поверхности / полынной растительностью,Стр. 239 / Разрез 02/13
