ID Разреза,Координаты Lat (N),Координаты Lon (E),Высота H (м),Глубина слоя верх (см),Глубина слоя ниж (см),Индекс горизонта,Цвет почвы (дословно),Структура и сложение,Вскипание от HCl (условия/глубина),"Наличие включений (ракушки, корни, гипс)",Влажность (сухой/свежий/влажный),Тип рельефа / Растительность (ассоциация),Источник (Стр. / Разрез №)
17/13,"46о 15' 34,5""","61о 48' 06,2""",63,0,5,Ак,Светло-серая сухая сверху и бурая внизу,"слабопористая, глинистая корка",н/д,соли с 19 см,влажная,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Стр. 258-259 / Разрез 17/13 1
17/13,"46о 15' 34,5""","61о 48' 06,2""",63,5,19,ВС,Грязно-бурый,"рыхловатый, бесструктурный, глинистый",н/д,н/д,влажный,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Стр. 259 / Разрез 17/13 1
17/13,"46о 15' 34,5""","61о 48' 06,2""",63,19,42,С1зс,Темновато-желтовато-бурый,"плотный, глыбистый, глинистый",н/д,крапинки солей,сухой,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Стр. 259 / Разрез 17/13 1
17/13,"46о 15' 34,5""","61о 48' 06,2""",63,42,63,С2зс,Желто-бурый,"плотный, пылевато-глыбковый, глинистый",н/д,пятна солей,сухой,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Стр. 260 / Разрез 17/13 1
17/13,"46о 15' 34,5""","61о 48' 06,2""",63,63,80,С3,Желто-бурый,"уплотненный, пылевато-орешковатый, тяжелосуглинистый",н/д,н/д,свежий,Огромная депрессия с плоским дном / единичные биюргун и эфемеры,Стр. 260 / Разрез 17/13 1
19/13,"46о 22' 53,4""","61о 46' 51,1""",75,0,5,А1к,Светло-серая буроватая,корочка с горизонтальной слоеватостью,н/д,н/д,н/д,Увалистые поверхности / полынная растительность,Стр. 260-261 / Разрез 19/13 1
19/13,"46о 22' 53,4""","61о 46' 51,1""",75,5,14,н/д,Темно-бурый,"слабоуплотненный, крупитчато-комковатый, среднесуглинистый",н/д,н/д,свежий,Увалистые поверхности / полынная растительность,Стр. 261 / Разрез 19/13 1
19/13,"46о 22' 53,4""","61о 46' 51,1""",75,14,30,В1сн,Темно-коричневый,"плотный, столбчато-глыбистый, глинистый",н/д,пятна солей,свежий,Увалистые поверхности / полынная растительность,Стр. 261 / Разрез 19/13 1
19/13,"46о 22' 53,4""","61о 46' 51,1""",75,30,42,В2сн,Темно-бурый,"плотный, комковато-ореховатый, среднесуглинистый",н/д,без видимых солей,свежий,Увалистые поверхности / полынная растительность,Стр. 262 / Разрез 19/13 1
19/13,"46о 22' 53,4""","61о 46' 51,1""",75,42,80,Ск,Светло-желтый,"плотный, легкосуглинистый",н/д,с карбонатами,сухой,Увалистые поверхности / полынная растительность,Стр. 262 / Разрез 19/13 1
20/13,"46о 22' 02,7""","61о 41' 10,5""",70,0,8,н/д,Буровато-светло-серая,"рыхлая корочка, слабоуплотненная, пылевато-непрочно-комковатая, супесчаная",с поверхности,редкие корешки,свежая,"Слабоволнистая равнина / полынная, эбелек, эфемеры",Стр. 262-263 / Разрез 20/13 1
