pit_code,S_Point,pit_number,Lat_DD,Lon_DD,Salinity_pct,CO3,HCO3,Cl,SO4,Ca,Mg,Na,K,Sand_pct,Silt_pct,Clay_pct,NDMI,MSAVI,SI,NDWI,Slope,TWI,VH,Prob_V1
01/20А,S124,1,44.7045,59.775683,0.06,,0.5,0.32,0.1,0.4,0.2,0.138,0.009,86.69,8.16,5.12,-0.04725658,0.053586766,2620.818,-0.057002112,0.007096676,6.9077554,-60.0,0.8749616
02/20А,S125,2,44.71105,59.793467,0.07,,0.4,0.32,0.3,0.6,0.2,0.12,0.085,67.58,25.7,6.68,-0.0464858,0.05157256,2636.5034,-0.056982063,0.007096676,6.9077554,-60.0,0.8749616
03/20А,S126,3,44.729433,59.813067,0.05,,0.45,0.32,0.3,0.2,0.4,0.174,0.009,47.12,39.95,12.91,-0.070985526,0.043317292,2977.583,-0.057254903,0.007096676,6.9077554,-60.0,0.8749616
04/20А,S127,4,44.755567,59.863583,6.52,0.1,0.25,50.8,49.5,28.6,5.0,70.358,1.778,49.21,39.25,11.52,-0.028113663,0.056912336,2748.7712,-0.06651186,0.007096676,6.9077554,-60.0,0.89509755
05/20А,S128,5,44.762467,59.8688,31.29,0.3,0.6,262.4,259.5,15.0,183.0,289.489,7.128,40.94,48.66,10.38,-0.04617669,0.06661548,2742.0767,-0.07155963,0.007096676,6.9077554,-60.0,0.850319
06/20А,S129,6,44.763633,59.89225,1.17,0.1,0.35,2.8,14.3,12.4,1.8,3.472,0.4,77.94,14.92,7.11,-0.030373156,0.07218571,2819.4255,-0.07660189,0.007096676,6.9077554,-60.0,0.4533082
07/20А,S130,7,44.820933,60.065867,1.29,,0.6,5.6,13.2,13.4,2.4,4.322,0.637,71.01,19.73,9.22,-0.041106127,0.07559498,3187.1758,-0.0769446,0.011748472,6.9077554,-60.0,0.42492884
08/20А,S131,8,44.860309,60.097676,2.42,,0.45,9.6,26.7,16.0,3.8,17.06,0.368,50.03,40.03,9.91,-0.03298332,0.077660754,3235.0254,-0.0828607,0.011748472,6.9077554,-60.0,0.41368395
09/20А,S132,9,44.920813,60.134392,16.42,0.2,0.5,87.6,164.3,9.0,42.0,202.641,0.713,82.13,12.53,5.31,-0.024806928,0.07126635,3417.5518,-0.08416808,0.011748472,6.9077554,-60.0,0.44461298
10/20А,S133,10,44.952885,60.143704,7.78,0.2,0.55,33.6,82.3,14.8,23.8,84.265,1.951,32.24,59.49,8.24,-0.030009452,0.07550916,3393.233,-0.08425779,0.011748472,6.9077554,-60.0,0.41774845
11/20А,S134,11,45.050679,60.145227,0.1,,0.5,0.2,0.6,0.4,0.0,0.286,0.545,21.35,63.75,14.87,-0.03448276,0.06724939,3188.2751,-0.08208745,0.012529144,6.9077554,-60.0,0.42858166
