NDMI,MSAVI,SI,Slope,TWI,VH,NDWI,label
-0.029583147,0.071777344,-0.14414057,0.061847802,6.831305,-60.0,-0.078724466,0
-0.027119089,0.07006836,-0.14935769,0.027779171,7.6316957,-60.0,-0.079831325,0
-0.021741832,0.07543945,-0.14115942,0.07508076,6.6374173,-60.0,-0.07700725,0
-0.015503876,0.06616211,-0.12664424,0.30268192,5.2432904,-60.0,-0.067845754,1
-0.028466742,0.07861328,-0.14727908,0.036958333,7.346191,-60.0,-0.08039492,0
-0.037096344,0.07397461,-0.1543753,0.021902235,7.8693933,-60.0,-0.084134616,0
-0.031168152,0.07299805,-0.1559375,0.034583755,7.412598,-60.0,-0.0836385,0
-0.034563188,0.08105469,-0.15719913,0.044547223,7.1594324,-60.0,-0.08741342,0
-0.019321278,0.07299805,-0.14405432,0.057685584,6.9009748,-60.0,-0.07889358,0
-0.02771219,0.06933594,-0.14805576,0.039723042,7.2740507,-60.0,-0.07917241,0
-0.025945527,0.06762695,-0.13048689,0.06380943,6.800081,-60.0,-0.07081027,1
-0.011872372,0.0715332,-0.13623436,0.05000563,7.0438466,-60.0,-0.07508073,0
-0.03905233,0.083496094,-0.15814245,0.04539647,7.1405478,-60.0,-0.088309005,0
-0.031126203,0.07910156,-0.14880054,0.022480872,7.8433175,-60.0,-0.080296576,0
-0.023284823,0.07470703,-0.14571394,0.07130768,6.6889777,-60.0,-0.08024833,0
-0.014160963,0.071777344,-0.14595336,0.055332,6.9426303,-60.0,-0.07821373,0
-0.025307797,0.075683594,-0.14076051,0.036758594,7.3516097,-60.0,-0.07764053,0
-0.029560203,0.07348633,-0.14533697,0.015845137,8.19312,-60.0,-0.07835283,0
-0.0449333,0.08178711,-0.16118936,0.015122781,8.23978,-60.0,-0.08913798,0
-0.026728788,0.07055664,-0.15060154,0.030994467,7.5221734,-60.0,-0.08102955,0
-0.020715632,0.071777344,-0.14427176,0.06437808,6.7912087,-60.0,-0.078418665,0
0.00027382257,0.06567383,-0.11798011,0.02989622,7.55825,-60.0,-0.06361916,1
-0.025836615,0.07104492,-0.13960852,0.049904976,7.0458612,-60.0,-0.07698585,0
-0.049052633,0.071777344,-0.14980273,0.04043321,7.2563305,-60.0,-0.08308356,0
-0.034129363,0.07519531,-0.14067139,0.050215073,7.0396667,-60.0,-0.079883255,0
-0.035549134,0.07128906,-0.16130155,0.021118982,7.90581,-60.0,-0.08608625,0
-0.02245863,0.07714844,-0.14447828,0.050400514,7.0359807,-60.0,-0.080904454,0
-0.035433073,0.079833984,-0.15231548,0.06885835,6.7239304,-60.0,-0.08241291,0
-0.035127554,0.07128906,-0.1539936,0.017672034,8.083999,-60.0,-0.081437126,0
-0.04195804,0.07446289,-0.15689917,0.062922955,6.8140707,-60.0,-0.08437549,0
-0.014872364,0.06933594,-0.13780284,0.0057837293,9.200933,-60.0,-0.07483652,0
-0.045290582,0.075683594,-0.15780947,0.068123564,6.7346587,-60.0,-0.08568824,0
-0.040074944,0.080566406,-0.15289411,0.028421672,7.60883,-60.0,-0.08609115,0
-0.038280137,0.076660156,-0.15413979,0.03298213,7.4600163,-60.0,-0.084209226,0
-0.029797101,0.072753906,-0.14301325,0.053799883,6.9707108,-60.0,-0.077794954,0
-0.0077238716,0.06640625,-0.13063806,0.05763058,6.9019284,-60.0,-0.0711308,1
-0.03671072,0.0793457,-0.15513295,0.023636788,7.7931776,-60.0,-0.084835455,0
-0.038190953,0.06982422,-0.14645103,0.04211413,7.2155986,-60.0,-0.0789177,0
-0.01490297,0.067871094,-0.13684732,0.016242223,8.168368,-60.0,-0.07474558,0
-0.03190718,0.07519531,-0.1498708,0.016665142,8.142663,-60.0,-0.08038846,0
-0.043803714,0.07080078,-0.1542838,0.06200048,6.82884,-60.0,-0.08119122,0
-0.035318382,0.0769043,-0.1485574,0.0498277,7.047411,-60.0,-0.081034236,0
-0.028975649,0.060791016,-0.12907308,0.07504519,6.6378913,-60.0,-0.0679234,1
-0.015792264,0.07470703,-0.13980606,0.03221938,7.483414,-60.0,-0.07738717,0
-0.036324788,0.080566406,-0.15715203,0.03587166,7.3760347,-60.0,-0.087008916,0
-0.024707412,0.068847656,-0.12443778,0.11391724,6.2205086,-60.0,-0.06635071,1
-0.018779343,0.075683594,-0.1408297,0.07508367,6.6373787,-60.0,-0.08021501,0
-0.026118068,0.07397461,-0.14610526,0.04762279,7.0926704,-60.0,-0.08144616,0
-0.029610517,0.06665039,-0.13984703,0.03803478,7.317481,-60.0,-0.0742655,0
-0.031686954,0.07763672,-0.14363788,0.07245932,6.6729565,-60.0,-0.08133004,0
-0.043545477,0.076416016,-0.15261605,0.046939358,7.1071253,-60.0,-0.08158508,0
-0.026369687,0.06689453,-0.14703664,0.046296865,7.120908,-60.0,-0.07825347,0
-0.025,0.07519531,-0.14725967,0.0414689,7.231038,-60.0,-0.080474935,0
-0.038393904,0.08129883,-0.15385967,0.02255162,7.840175,-60.0,-0.085345685,0
-0.03692762,0.07519531,-0.1579235,0.07069663,6.6975837,-60.0,-0.08444217,0
-0.016984584,0.07470703,-0.13741496,0.031081926,7.519356,-60.0,-0.07577924,0
-0.033247307,0.080078125,-0.15174535,0.013831264,8.329051,-60.0,-0.082440935,0
-0.037200503,0.08105469,-0.15521371,0.031186523,7.515996,-60.0,-0.088123515,0
-0.029320553,0.07788086,-0.14518543,0.021776767,7.8751383,-60.0,-0.07897211,0
-0.029393053,0.072021484,-0.1486222,0.046550043,7.115454,-60.0,-0.08030024,0
-0.034587074,0.079589844,-0.1532161,0.036524687,7.3579936,-60.0,-0.08610323,0
-0.03446572,0.068603516,-0.14118849,0.022341857,7.84952,-60.0,-0.07539901,0
-0.030355169,0.06689453,-0.14182344,0.07330756,6.661318,-60.0,-0.075958,0
-0.021197174,0.06591797,-0.12452137,0.067244485,6.747647,-60.0,-0.068238035,1
-0.042218883,0.07299805,-0.14430296,0.045322757,7.142173,-60.0,-0.07779828,0
-0.04144527,0.07763672,-0.14963038,0.015785089,8.196917,-60.0,-0.084264934,0
-0.029095676,0.07421875,-0.15084668,0.040898453,7.2448897,-60.0,-0.082091734,0
-0.026170468,0.083984375,-0.15161839,0.0038394765,9.610646,-60.0,-0.085653104,0
-0.04278674,0.072265625,-0.1346256,0.030180356,7.548791,-60.0,-0.073887914,1
