filename,centroid_lat,centroid_lon,area_ha
task_grid_44.06_61.45.kml,44.06,61.45,8899.3
task_grid_44.06_61.55.kml,44.06,61.55,8880.5
task_grid_44.16_61.55.kml,44.16,61.55,8878.8
task_grid_44.16_61.45.kml,44.16,61.45,8851.4
task_grid_44.36_61.45.kml,44.36,61.45,8837.9
task_grid_43.96_61.35.kml,43.96,61.35,8836.1
task_grid_44.26_61.45.kml,44.26,61.45,8822.1
task_grid_44.26_61.55.kml,44.26,61.55,8804.7
task_grid_44.26_61.25.kml,44.26,61.25,8761.5
task_grid_45.06_60.45.kml,45.06,60.45,8739.8
task_grid_45.26_59.05.kml,45.26,59.05,8736.8
task_grid_43.76_59.85.kml,43.76,59.85,8726.4
task_grid_45.26_58.95.kml,45.26,58.95,8721.0
task_grid_45.36_59.05.kml,45.36,59.05,8716.3
task_grid_45.36_58.95.kml,45.36,58.95,8716.3
task_grid_45.16_58.95.kml,45.16,58.95,8709.9
task_grid_44.26_61.65.kml,44.26,61.65,8674.7
task_grid_45.36_61.05.kml,45.36,61.05,8664.1
task_grid_45.66_59.95.kml,45.66,59.95,8662.2
task_grid_45.36_59.15.kml,45.36,59.15,8661.8
task_grid_45.56_61.05.kml,45.56,61.05,8653.7
task_grid_45.26_58.85.kml,45.26,58.85,8633.0
task_grid_45.46_61.05.kml,45.46,61.05,8619.0
task_grid_46.06_58.95.kml,46.06,58.95,8613.0
task_grid_44.96_61.05.kml,44.96,61.05,8600.8
task_grid_44.86_60.95.kml,44.86,60.95,8595.8
task_grid_44.36_61.35.kml,44.36,61.35,8594.9
task_grid_45.66_60.05.kml,45.66,60.05,8594.9
task_grid_45.26_59.15.kml,45.26,59.15,8588.1
task_grid_46.06_58.85.kml,46.06,58.85,8583.8
task_grid_44.16_61.65.kml,44.16,61.65,8582.3
task_grid_46.26_59.25.kml,46.26,59.25,8580.9
task_grid_44.56_61.25.kml,44.56,61.25,8580.1
task_grid_46.26_58.85.kml,46.26,58.85,8578.1
task_grid_46.36_58.85.kml,46.36,58.85,8569.3
task_grid_46.26_59.15.kml,46.26,59.15,8568.1
task_grid_46.36_59.05.kml,46.36,59.05,8565.0
task_grid_46.36_59.85.kml,46.36,59.85,8560.2
task_grid_46.36_58.95.kml,46.36,58.95,8558.6
task_grid_46.26_58.95.kml,46.26,58.95,8557.0
task_grid_45.66_59.85.kml,45.66,59.85,8554.9
task_grid_46.46_58.85.kml,46.46,58.85,8553.8
task_grid_46.46_58.95.kml,46.46,58.95,8552.7
task_grid_46.46_59.05.kml,46.46,59.05,8551.8
task_grid_46.46_59.65.kml,46.46,59.65,8546.3
task_grid_46.46_59.75.kml,46.46,59.75,8544.9
task_grid_45.46_59.15.kml,45.46,59.15,8535.4
task_grid_45.56_60.85.kml,45.56,60.85,8532.6
task_grid_45.56_60.95.kml,45.56,60.95,8532.1
task_grid_46.26_60.05.kml,46.26,60.05,8521.8
task_grid_46.16_59.15.kml,46.16,59.15,8516.9
task_grid_45.46_58.95.kml,45.46,58.95,8510.8
task_grid_44.26_61.35.kml,44.26,61.35,8501.3
task_grid_45.16_59.05.kml,45.16,59.05,8500.5
task_grid_45.06_60.55.kml,45.06,60.55,8497.7
task_grid_46.26_59.05.kml,46.26,59.05,8492.4
task_grid_45.66_60.15.kml,45.66,60.15,8486.9
task_grid_46.46_59.55.kml,46.46,59.55,8484.7
task_grid_46.06_59.05.kml,46.06,59.05,8461.1
task_grid_46.16_60.25.kml,46.16,60.25,8457.5
task_grid_46.26_60.35.kml,46.26,60.35,8445.5
task_grid_46.26_59.35.kml,46.26,59.35,8445.2
task_grid_45.66_60.95.kml,45.66,60.95,8425.9
task_grid_44.76_60.75.kml,44.76,60.75,8418.6
task_grid_43.86_60.35.kml,43.86,60.35,8403.6
task_grid_45.06_60.35.kml,45.06,60.35,8367.3
task_grid_46.26_59.95.kml,46.26,59.95,8365.1
task_grid_46.46_59.15.kml,46.46,59.15,8360.9
task_grid_45.46_59.05.kml,45.46,59.05,8345.5
task_grid_46.16_59.25.kml,46.16,59.25,8343.6
task_grid_46.16_59.05.kml,46.16,59.05,8338.0
task_grid_46.36_59.45.kml,46.36,59.45,8332.8
task_grid_44.36_61.25.kml,44.36,61.25,8312.3
task_grid_44.46_61.35.kml,44.46,61.35,8294.9
task_grid_43.96_61.45.kml,43.96,61.45,8249.9
task_grid_45.16_59.15.kml,45.16,59.15,8244.8
task_grid_46.16_59.95.kml,46.16,59.95,8220.9
task_grid_45.76_60.95.kml,45.76,60.95,8215.9
task_grid_43.56_60.75.kml,43.56,60.75,8207.8
task_grid_45.06_60.65.kml,45.06,60.65,8199.0
task_grid_44.86_61.05.kml,44.86,61.05,8194.5
task_grid_46.06_60.05.kml,46.06,60.05,8193.6
task_grid_46.26_59.45.kml,46.26,59.45,8179.8
task_grid_43.86_61.35.kml,43.86,61.35,8165.0
task_grid_46.46_59.85.kml,46.46,59.85,8155.2
task_grid_46.16_58.95.kml,46.16,58.95,8151.2
task_grid_46.36_59.95.kml,46.36,59.95,8147.5
task_grid_45.36_59.25.kml,45.36,59.25,8136.1
task_grid_45.36_61.15.kml,45.36,61.15,8134.5
task_grid_45.46_60.95.kml,45.46,60.95,8090.1
task_grid_45.56_61.15.kml,45.56,61.15,8071.8
task_grid_46.26_60.45.kml,46.26,60.45,8066.6
task_grid_44.46_60.65.kml,44.46,60.65,8066.2
task_grid_45.36_60.55.kml,45.36,60.55,8064.5
task_grid_46.16_60.05.kml,46.16,60.05,8061.6
task_grid_44.56_60.85.kml,44.56,60.85,8023.9
task_grid_43.86_60.25.kml,43.86,60.25,8023.5
