filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_44.75_60.68.kml,44.75,60.68,8786.4,26.65,26.65,kazakhstan
task_grid_44.95_60.88.kml,44.95,60.88,8769.2,34.81,34.81,kazakhstan
task_grid_44.95_60.98.kml,44.95,60.98,8767.7,32.4,32.4,kazakhstan
task_grid_45.05_60.68.kml,45.05,60.68,8749.3,52.07,52.07,kazakhstan
task_grid_45.05_60.58.kml,45.05,60.58,8748.9,56.44,56.44,kazakhstan
task_grid_44.85_60.98.kml,44.85,60.98,8742.7,21.62,21.62,kazakhstan
task_grid_45.15_60.58.kml,45.15,60.58,8736.8,65.65,65.65,kazakhstan
task_grid_44.75_60.98.kml,44.75,60.98,8708.9,11.31,11.31,kazakhstan
task_grid_45.15_60.68.kml,45.15,60.68,8703.2,61.67,61.67,kazakhstan
task_grid_45.35_60.58.kml,45.35,60.58,8700.5,76.77,76.77,kazakhstan
task_grid_44.75_60.78.kml,44.75,60.78,8675.1,20.83,20.83,kazakhstan
task_grid_45.15_60.48.kml,45.15,60.48,8661.4,70.06,70.06,kazakhstan
task_grid_44.95_60.78.kml,44.95,60.78,8659.8,38.47,38.47,kazakhstan
task_grid_45.25_60.58.kml,45.25,60.58,8655.6,75.19,75.19,kazakhstan
task_grid_45.15_60.78.kml,45.15,60.78,8626.5,58.36,58.36,kazakhstan
task_grid_45.35_60.68.kml,45.35,60.68,8623.9,69.92,69.92,kazakhstan
task_grid_45.25_60.68.kml,45.25,60.68,8555.3,71.66,71.66,kazakhstan
task_grid_45.25_60.88.kml,45.25,60.88,8477.1,64.48,64.48,kazakhstan
task_grid_44.95_61.08.kml,44.95,61.08,8446.7,28.76,28.76,kazakhstan
task_grid_44.95_60.58.kml,44.95,60.58,8440.6,47.87,47.87,kazakhstan
task_grid_44.85_60.78.kml,44.85,60.78,8429.2,29.19,29.19,kazakhstan
task_grid_44.85_61.08.kml,44.85,61.08,8409.0,20.47,20.69,kazakhstan
task_grid_45.25_60.78.kml,45.25,60.78,8408.6,68.76,68.76,kazakhstan
task_grid_45.25_60.48.kml,45.25,60.48,8397.9,79.24,79.24,kazakhstan
task_grid_44.65_60.78.kml,44.65,60.78,8379.6,14.12,14.12,kazakhstan
task_grid_45.75_60.58.kml,45.75,60.58,8333.3,40.78,40.78,kazakhstan
task_grid_44.95_60.68.kml,44.95,60.68,8219.0,42.82,42.82,kazakhstan
task_grid_45.45_59.08.kml,45.45,59.08,8213.7,26.3,26.3,kazakhstan
task_grid_44.75_61.08.kml,44.75,61.08,8205.8,9.62,9.62,kazakhstan
task_grid_45.75_60.38.kml,45.75,60.38,8199.2,49.05,49.05,kazakhstan
task_grid_45.75_61.18.kml,45.75,61.18,8198.4,15.26,15.26,kazakhstan
task_grid_45.15_60.38.kml,45.15,60.38,8136.9,74.96,74.96,kazakhstan
task_grid_45.45_58.98.kml,45.45,58.98,8136.6,32.73,32.73,kazakhstan
task_grid_45.65_60.68.kml,45.65,60.68,8120.2,44.65,44.65,kazakhstan
task_grid_45.35_60.48.kml,45.35,60.48,8100.2,81.09,81.09,kazakhstan
task_grid_44.85_60.88.kml,44.85,60.88,8066.8,24.87,24.87,kazakhstan
task_grid_45.65_60.28.kml,45.65,60.28,8048.3,61.13,61.13,kazakhstan
task_grid_44.95_61.18.kml,44.95,61.18,8035.9,24.15,24.15,kazakhstan
task_grid_45.55_61.08.kml,45.55,61.08,8034.8,31.86,31.86,kazakhstan
task_grid_45.45_60.58.kml,45.45,60.58,7908.6,67.53,67.53,kazakhstan
task_grid_45.45_60.68.kml,45.45,60.68,7891.7,63.91,63.91,kazakhstan
task_grid_44.85_60.58.kml,44.85,60.58,7861.8,39.9,39.9,kazakhstan
task_grid_45.25_60.98.kml,45.25,60.98,7808.1,56.68,56.68,kazakhstan
task_grid_45.05_60.78.kml,45.05,60.78,7777.2,48.19,48.19,kazakhstan
task_grid_44.85_60.68.kml,44.85,60.68,7759.4,34.33,34.33,kazakhstan
task_grid_45.05_60.48.kml,45.05,60.48,7757.3,61.41,61.41,kazakhstan
task_grid_44.65_60.68.kml,44.65,60.68,7704.7,21.68,21.68,kazakhstan
task_grid_44.75_60.88.kml,44.75,60.88,7686.9,15.55,15.55,kazakhstan
task_grid_45.85_60.58.kml,45.85,60.58,7666.4,30.89,30.89,kazakhstan
task_grid_45.75_61.08.kml,45.75,61.08,7649.1,22.22,22.22,kazakhstan
task_grid_45.25_60.38.kml,45.25,60.38,7605.7,77.65,77.65,kazakhstan
task_grid_45.65_60.58.kml,45.65,60.58,7589.1,49.67,49.67,kazakhstan
task_grid_45.55_61.18.kml,45.55,61.18,7579.9,24.95,24.95,kazakhstan
task_grid_45.55_59.18.kml,45.55,59.18,7566.1,29.17,29.17,kazakhstan
task_grid_44.65_60.88.kml,44.65,60.88,7515.4,7.37,7.37,kazakhstan
task_grid_45.65_60.18.kml,45.65,60.18,7422.9,53.7,53.7,kazakhstan
task_grid_45.65_60.38.kml,45.65,60.38,7393.7,58.0,58.0,kazakhstan
task_grid_45.85_60.78.kml,45.85,60.78,7378.4,23.21,23.21,kazakhstan
task_grid_45.55_60.98.kml,45.55,60.98,7366.7,39.11,39.11,kazakhstan
task_grid_45.45_59.18.kml,45.45,59.18,7274.4,20.85,20.85,kazakhstan
task_grid_45.15_60.88.kml,45.15,60.88,7236.5,55.84,55.84,kazakhstan
task_grid_45.45_60.48.kml,45.45,60.48,7151.3,71.81,71.81,kazakhstan
task_grid_45.55_60.48.kml,45.55,60.48,7121.9,63.13,63.13,kazakhstan
task_grid_44.95_60.48.kml,44.95,60.48,7112.9,53.32,53.32,kazakhstan
task_grid_45.85_60.68.kml,45.85,60.68,7094.6,27.63,27.63,kazakhstan
task_grid_45.55_60.58.kml,45.55,60.58,7044.6,58.22,58.22,kazakhstan
task_grid_44.85_61.18.kml,44.85,61.18,7022.0,15.33,15.33,kazakhstan
task_grid_45.75_60.68.kml,45.75,60.68,6988.0,36.31,36.31,kazakhstan
task_grid_45.45_60.38.kml,45.45,60.38,6912.8,76.65,76.65,kazakhstan
task_grid_45.75_60.28.kml,45.75,60.28,6904.2,52.43,52.43,kazakhstan
task_grid_45.65_61.28.kml,45.65,61.28,6812.1,13.59,13.59,kazakhstan
task_grid_45.85_61.18.kml,45.85,61.18,6809.3,10.06,10.06,kazakhstan
task_grid_45.75_60.98.kml,45.75,60.98,6806.8,24.97,24.97,kazakhstan
task_grid_45.35_60.78.kml,45.35,60.78,6800.2,63.3,63.3,kazakhstan
task_grid_44.75_61.18.kml,44.75,61.18,6797.7,6.87,9.71,kazakhstan
task_grid_45.85_60.88.kml,45.85,60.88,6733.1,17.54,17.54,kazakhstan
task_grid_45.35_60.88.kml,45.35,60.88,6726.8,56.98,56.98,kazakhstan
task_grid_45.75_60.48.kml,45.75,60.48,6712.3,44.44,44.44,kazakhstan
task_grid_45.65_60.08.kml,45.65,60.08,6699.5,46.38,46.38,kazakhstan
task_grid_45.65_61.18.kml,45.65,61.18,6682.4,21.33,21.33,kazakhstan
task_grid_45.45_61.08.kml,45.45,61.08,6674.0,37.82,37.82,kazakhstan
task_grid_45.55_59.08.kml,45.55,59.08,6634.9,33.42,33.42,kazakhstan
task_grid_45.35_59.18.kml,45.35,59.18,6523.6,13.67,13.67,kazakhstan
task_grid_45.15_60.28.kml,45.15,60.28,6485.8,69.95,70.17,kazakhstan
task_grid_44.75_60.58.kml,44.75,60.58,6441.3,33.26,33.26,kazakhstan
task_grid_45.55_60.38.kml,45.55,60.38,6297.4,67.59,67.59,kazakhstan
task_grid_44.85_60.48.kml,44.85,60.48,6262.2,45.98,45.98,kazakhstan
task_grid_45.75_60.88.kml,45.75,60.88,6256.2,27.1,27.1,kazakhstan
task_grid_45.45_61.18.kml,45.45,61.18,6047.8,32.2,32.2,kazakhstan
