filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_46.11_60.06.kml,46.11,60.06,6591.3,5399.0,1192.4,15.71,15.71,kazakhstan
task_grid_v6_45.41_59.06.kml,45.41,59.06,6507.7,2377.6,4130.1,25.22,25.22,kazakhstan
task_grid_v6_45.41_59.16.kml,45.41,59.16,6237.6,4815.7,1422.0,18.88,18.88,kazakhstan
task_grid_v6_44.91_61.16.kml,44.91,61.16,6227.2,367.9,5859.3,21.6,21.6,kazakhstan
task_grid_v6_45.41_61.06.kml,45.41,61.06,6192.5,4416.3,1776.1,41.51,41.51,kazakhstan
task_grid_v6_45.51_61.06.kml,45.51,61.06,6186.9,1805.4,4381.5,34.93,34.93,kazakhstan
task_grid_v6_45.01_61.16.kml,45.01,61.16,6056.5,31.8,6024.7,31.21,31.21,kazakhstan
task_grid_v6_45.61_60.16.kml,45.61,60.16,5800.1,3086.9,2713.2,53.77,53.77,kazakhstan
task_grid_v6_46.11_59.96.kml,46.11,59.96,5614.5,4359.6,1254.9,16.12,16.12,kazakhstan
task_grid_v6_46.11_59.86.kml,46.11,59.86,5301.9,5299.2,2.7,15.92,15.92,kazakhstan
task_grid_v6_45.81_60.86.kml,45.81,60.86,5116.1,4862.7,253.5,21.56,21.56,kazakhstan
task_grid_v6_46.11_60.56.kml,46.11,60.56,5015.5,3114.7,1900.8,11.5,11.5,kazakhstan
task_grid_v6_46.11_60.46.kml,46.11,60.46,4914.4,2651.7,2262.7,11.95,11.95,kazakhstan
task_grid_v6_45.51_60.96.kml,45.51,60.96,4844.6,2978.0,1866.6,41.92,41.92,kazakhstan
task_grid_v6_46.11_60.26.kml,46.11,60.26,4844.1,2902.6,1941.5,11.94,11.94,kazakhstan
task_grid_v6_45.51_59.16.kml,45.51,59.16,4819.8,1959.0,2860.8,27.63,27.63,kazakhstan
task_grid_v6_45.11_61.16.kml,45.11,61.16,4756.0,83.8,4672.3,41.57,41.57,kazakhstan
task_grid_v6_45.61_60.26.kml,45.61,60.26,4673.1,1455.4,3217.7,61.01,61.01,kazakhstan
task_grid_v6_45.81_60.96.kml,45.81,60.96,4591.9,3712.0,879.8,18.21,18.21,kazakhstan
task_grid_v6_46.11_60.66.kml,46.11,60.66,4351.0,3047.4,1303.6,5.9,5.9,kazakhstan
task_grid_v6_45.61_60.06.kml,45.61,60.06,4256.5,2111.5,2145.0,46.69,46.69,kazakhstan
task_grid_v6_46.11_60.36.kml,46.11,60.36,4066.1,2540.1,1526.0,12.59,12.59,kazakhstan
task_grid_v6_45.61_59.76.kml,45.61,59.76,3985.2,2119.9,1865.3,27.87,27.87,kazakhstan
task_grid_v6_46.11_60.16.kml,46.11,60.16,3947.5,2395.7,1551.8,12.46,12.46,kazakhstan
task_grid_v6_45.91_60.16.kml,45.91,60.16,3935.2,1856.3,2078.9,34.47,34.47,kazakhstan
task_grid_v6_46.01_59.86.kml,46.01,59.86,3901.3,1498.0,2403.3,27.01,27.01,kazakhstan
task_grid_v6_45.01_61.06.kml,45.01,61.06,3880.3,38.2,3842.1,35.23,35.23,kazakhstan
task_grid_v6_46.01_59.36.kml,46.01,59.36,3848.9,2679.7,1169.1,3.21,3.21,kazakhstan
task_grid_v6_45.31_59.16.kml,45.31,59.16,3767.8,2313.1,1454.7,14.01,14.01,kazakhstan
task_grid_v6_46.01_59.76.kml,46.01,59.76,3288.7,1915.6,1373.0,20.67,20.67,kazakhstan
task_grid_v6_45.61_59.96.kml,45.61,59.96,3283.4,1717.7,1565.7,39.89,39.89,kazakhstan
task_grid_v6_45.61_61.06.kml,45.61,61.06,3167.4,494.5,2672.9,31.05,31.05,kazakhstan
task_grid_v6_45.61_60.96.kml,45.61,60.96,3087.2,396.4,2690.8,37.86,37.86,kazakhstan
task_grid_v6_44.91_61.26.kml,44.91,61.26,3013.4,327.9,2685.5,18.01,18.01,kazakhstan
task_grid_v6_45.51_59.26.kml,45.51,59.26,3004.1,31.6,2972.5,24.64,24.64,kazakhstan
task_grid_v6_45.91_60.06.kml,45.91,60.06,2944.5,1108.1,1836.4,35.95,35.95,kazakhstan
task_grid_v6_45.31_59.36.kml,45.31,59.36,2793.3,2227.1,566.3,2.42,2.42,kazakhstan
task_grid_v6_45.91_60.26.kml,45.91,60.26,2764.2,1400.0,1364.2,34.17,34.17,kazakhstan
task_grid_v6_45.41_58.96.kml,45.41,58.96,2753.5,0.0,2753.5,28.96,32.23,kazakhstan
task_grid_v6_45.21_61.16.kml,45.21,61.16,2692.7,71.3,2621.4,43.26,43.26,kazakhstan
task_grid_v6_44.81_61.06.kml,44.81,61.06,2691.3,0.0,2691.3,16.69,16.69,kazakhstan
task_grid_v6_46.01_60.06.kml,46.01,60.06,2672.6,325.4,2347.2,25.5,25.5,kazakhstan
task_grid_v6_45.41_59.26.kml,45.41,59.26,2668.4,866.7,1801.7,14.13,14.13,kazakhstan
task_grid_v6_45.71_60.86.kml,45.71,60.86,2660.3,1936.2,724.1,31.3,31.3,kazakhstan
task_grid_v6_45.51_59.36.kml,45.51,59.36,2606.2,1634.6,971.5,23.95,23.95,kazakhstan
task_grid_v6_45.91_61.16.kml,45.91,61.16,2585.4,1270.1,1315.3,10.09,10.09,kazakhstan
task_grid_v6_45.51_61.16.kml,45.51,61.16,2574.0,312.4,2261.6,28.37,28.37,kazakhstan
task_grid_v6_45.41_59.36.kml,45.41,59.36,2478.8,1974.7,504.1,12.89,12.89,kazakhstan
task_grid_v6_45.41_61.16.kml,45.41,61.16,2409.7,291.8,2117.8,36.15,36.15,kazakhstan
task_grid_v6_45.91_59.86.kml,45.91,59.86,2377.6,280.5,2097.2,28.86,28.86,kazakhstan
task_grid_v6_45.01_60.36.kml,45.01,60.36,2374.2,993.0,1381.2,65.0,65.0,kazakhstan
task_grid_v6_45.31_61.16.kml,45.31,61.16,2302.6,1047.2,1255.4,42.13,42.13,kazakhstan
task_grid_v6_45.11_61.26.kml,45.11,61.26,2232.7,36.9,2195.8,39.83,39.83,kazakhstan
task_grid_v6_44.51_60.86.kml,44.51,60.86,2039.0,522.5,1516.5,11.61,11.61,kazakhstan
task_grid_v6_45.61_60.36.kml,45.61,60.36,1926.6,373.4,1553.2,62.11,62.11,kazakhstan
task_grid_v6_45.81_59.46.kml,45.81,59.46,1907.0,1162.3,744.6,1.66,1.66,kazakhstan
task_grid_v6_46.11_60.76.kml,46.11,60.76,1879.4,805.4,1074.0,0.15,0.15,kazakhstan
task_grid_v6_45.91_59.96.kml,45.91,59.96,1861.1,246.7,1614.4,36.04,36.04,kazakhstan
task_grid_v6_45.91_61.06.kml,45.91,61.06,1848.8,1435.1,413.6,7.18,7.18,kazakhstan
task_grid_v6_46.11_59.76.kml,46.11,59.76,1821.2,1569.5,251.7,17.12,17.12,kazakhstan
task_grid_v6_45.51_58.96.kml,45.51,58.96,1788.3,0.0,1788.3,29.69,29.69,kazakhstan
task_grid_v6_45.71_60.16.kml,45.71,60.16,1772.6,893.9,878.6,50.44,50.44,kazakhstan
task_grid_v6_45.71_59.86.kml,45.71,59.86,1770.5,1361.4,409.2,27.91,27.91,kazakhstan
task_grid_v6_45.71_60.96.kml,45.71,60.96,1765.9,1084.1,681.9,29.09,29.09,kazakhstan
task_grid_v6_45.81_60.16.kml,45.81,60.16,1747.2,427.1,1320.0,45.51,45.51,kazakhstan
task_grid_v6_45.61_59.86.kml,45.61,59.86,1664.6,801.3,863.3,33.51,33.51,kazakhstan
task_grid_v6_45.31_59.26.kml,45.31,59.26,1652.4,233.7,1418.7,6.29,6.29,kazakhstan
task_grid_v6_46.01_60.16.kml,46.01,60.16,1641.8,467.4,1174.4,23.45,23.45,kazakhstan
task_grid_v6_44.91_61.06.kml,44.91,61.06,1630.6,0.0,1630.6,27.09,27.09,kazakhstan
task_grid_v6_45.61_60.86.kml,45.61,60.86,1627.8,900.4,727.5,41.73,41.73,kazakhstan
task_grid_v6_45.91_59.56.kml,45.91,59.56,1597.4,1597.4,0.0,10.21,10.21,kazakhstan
task_grid_v6_45.81_61.06.kml,45.81,61.06,1548.9,959.6,589.3,17.87,17.87,kazakhstan
task_grid_v6_46.01_60.26.kml,46.01,60.26,1528.8,746.6,782.2,23.06,23.06,kazakhstan
task_grid_v6_45.31_59.06.kml,45.31,59.06,1522.1,1311.1,211.0,20.77,21.83,kazakhstan
task_grid_v6_45.71_59.76.kml,45.71,59.76,1510.5,764.5,746.0,20.81,20.81,kazakhstan
task_grid_v6_45.31_61.06.kml,45.31,61.06,1506.6,240.3,1266.4,49.73,49.73,kazakhstan
task_grid_v6_45.21_61.06.kml,45.21,61.06,1498.0,65.0,1433.0,50.94,50.94,kazakhstan
task_grid_v6_45.81_59.86.kml,45.81,59.86,1478.0,969.9,508.2,26.13,26.13,kazakhstan
task_grid_v6_46.21_60.06.kml,46.21,60.06,1460.6,1171.7,289.0,6.0,6.0,kazakhstan
task_grid_v6_45.51_59.06.kml,45.51,59.06,1454.8,67.5,1387.3,32.29,32.29,kazakhstan
task_grid_v6_45.11_61.06.kml,45.11,61.06,1414.8,23.8,1390.9,44.66,44.66,kazakhstan
task_grid_v6_46.01_59.96.kml,46.01,59.96,1412.8,72.9,1339.8,27.21,27.21,kazakhstan
task_grid_v6_45.81_59.36.kml,45.81,59.36,1358.0,1315.2,42.8,2.3,2.3,kazakhstan
task_grid_v6_45.81_59.96.kml,45.81,59.96,1303.0,801.3,501.7,33.89,33.89,kazakhstan
task_grid_v6_44.91_60.96.kml,44.91,60.96,1257.2,15.9,1241.3,28.89,28.89,kazakhstan
task_grid_v6_46.11_59.66.kml,46.11,59.66,1248.7,487.5,761.2,10.53,10.53,kazakhstan
task_grid_v6_46.21_59.86.kml,46.21,59.86,1213.0,1168.6,44.4,4.94,4.94,kazakhstan
