pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
1,01/20А,chemistry_salinity_ions,0-13 см,0.0,13.0,,,0.5,0.031,0.32,0.011,,,0.4,0.008,0.2,0.002,0.138,0.003,0.009,0.0004,0.06,0.846,0.747,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
1,01/20А,chemistry_salinity_ions,13-50 см,13.0,50.0,,,0.4,0.024,0.24,0.009,0.1,0.01,0.4,0.008,0.2,0.002,0.065,0.002,0.009,0.0004,0.05,0.754,0.674,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
1,01/20А,chemistry_salinity_ions,50-75 см,50.0,75.0,,,0.3,0.018,0.24,0.009,,,0.2,0.004,0.2,0.002,0.084,0.002,0.02,0.001,0.04,0.566,0.503,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
1,01/20А,chemistry_salinity_ions,75-94 см,75.0,94.0,,,0.55,0.034,0.28,0.01,,,0.4,0.008,0.2,0.002,0.102,0.002,0.042,0.002,0.06,0.834,0.743,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
1,01/20А,chemistry_salinity_ions,94-140 см,94.0,140.0,,,0.45,0.027,0.28,0.01,0.1,0.003,0.4,0.008,0.4,0.005,0.065,0.002,0.02,0.001,0.06,0.8,0.885,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
2,02/20А,chemistry_salinity_ions,0-25 см,0.0,25.0,,,0.4,0.024,0.32,0.011,0.3,0.01,0.6,0.012,0.2,0.002,0.12,0.003,0.085,0.003,0.07,1.031,1.005,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
2,02/20А,chemistry_salinity_ions,25-56 см,25.0,56.0,,,0.4,0.024,0.36,0.013,,,0.4,0.008,0.2,0.002,0.102,0.002,0.074,0.003,0.05,0.764,0.776,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
2,02/20А,chemistry_salinity_ions,26-87 см,26.0,87.0,,,0.4,0.024,0.36,0.013,,,0.2,0.004,0.4,0.005,0.102,0.002,0.063,0.002,0.05,0.786,0.765,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
2,02/20А,chemistry_salinity_ions,87-100 см,87.0,100.0,,,0.4,0.024,0.32,0.011,0.5,0.02,0.6,0.012,0.4,0.005,0.174,0.004,0.096,0.004,0.08,1.184,1.27,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
2,02/20А,chemistry_salinity_ions,100-150 см,100.0,150.0,,,0.5,0.031,0.36,0.013,1.1,0.05,0.8,0.016,0.2,0.002,0.666,0.015,0.204,0.008,0.14,1.98,1.87,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
3,03/20А,chemistry_salinity_ions,0-3 см,0.0,3.0,,,0.45,0.027,0.32,0.011,,,0.2,0.004,0.4,0.005,0.174,0.004,0.009,0.0,0.05,0.796,0.784,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
3,03/20А,chemistry_salinity_ions,3-27 см,3.0,27.0,,,0.45,0.027,0.36,0.013,0.3,0.01,0.8,0.016,0.2,0.002,0.065,0.002,,,0.07,1.099,1.064,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
3,03/20А,chemistry_salinity_ions,27-63 см,27.0,63.0,,,0.45,0.027,0.24,0.009,,,0.4,0.008,0.2,0.002,0.047,0.001,,,0.05,0.716,0.645,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
3,03/20А,chemistry_salinity_ions,63-87 см,63.0,87.0,,,0.4,0.024,0.28,0.01,0.7,0.03,1.0,0.02,0.4,0.005,0.102,0.002,0.042,0.002,0.1,1.385,1.543,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
