pit_number,pit_code,top_chem_depth_raw,top_chem_depth_top_cm,top_chem_depth_bottom_cm,top_salinity_pct,CO3_mmol_100g,HCO3_mmol_100g,Cl_mmol_100g,SO4_mmol_100g,Ca_mmol_100g,Mg_mmol_100g,Na_mmol_100g,K_mmol_100g,top_humus_depth_raw,top_humus_depth_top_cm,top_humus_depth_bottom_cm,top_humus_pct,top_CO2,top_pH,sand_pct_2020,silt_pct_2020,clay_pct_2020,texture_label_2020,S_Point,lon_aralfield_dd,lat_aralfield_dd,lon_shifted_odt_dd,lat_shifted_odt_dd,mapping_confidence,coordinate_conflict_m,georeference_status,usable_for_spatial_validation,spatial_validation_note
1,01/20А,0-13 см,0.0,13.0,0.06,,0.5,0.32,0.1,0.4,0.2,0.138,0.009,0-10,0.0,10.0,0.45,1.49,7.68,86.69,8.16,5.12,Песок,S124,60.893604,45.588539,59.775683,44.7045,confirmed_from_project_notes,131715.2,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
2,02/20А,0-25 см,0.0,25.0,0.07,,0.4,0.32,0.3,0.6,0.2,0.12,0.085,0-6,0.0,6.0,0.82,8.41,6.83,67.58,25.7,6.68,супесчаный,S125,60.912059,45.608637,59.793467,44.71105,confirmed_from_project_notes,132864.4,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
3,03/20А,0-3 см,0.0,3.0,0.05,,0.45,0.32,0.3,0.2,0.4,0.174,0.009,0-6,0.0,6.0,0.91,7.29,7.96,47.12,39.95,12.91,легко суглинистый,S126,60.928608,45.624813,59.813067,44.729433,confirmed_from_project_notes,132504.7,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
4,04/20А,0-1 см,0.0,1.0,6.52,0.1,0.25,50.8,49.5,28.6,5.0,70.358,1.778,0-6,0.0,6.0,0.58,7.46,8.2,49.21,39.25,11.52,легко суглинистый,S127,60.9836,45.648156,59.863583,44.755567,confirmed_from_project_notes,132478.6,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
5,05/20А,0-6 см,0.0,6.0,31.29,0.3,0.6,262.4,259.5,15.0,183.0,289.489,7.128,0-3,0.0,3.0,1.31,6.06,8.5,40.94,48.66,10.38,средне суглинистая,S128,60.987777,45.656316,59.8688,44.762467,confirmed_from_project_notes,132522.0,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
6,06/20А,0-30 см,0.0,30.0,1.17,0.1,0.35,2.8,14.3,12.4,1.8,3.472,0.4,0-5,0.0,5.0,0.21,6.13,8.63,77.94,14.92,7.11,супесчанная ,S129,61.018802,45.657462,59.89225,44.763633,tentative_from_project_notes,132912.3,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
7,07/20А,0-4 см,0.0,4.0,1.29,,0.6,5.6,13.2,13.4,2.4,4.322,0.637,0-6,0.0,6.0,0.44,7.21,7.59,71.01,19.73,9.22,супесчанная ,S130,61.213133,45.725247,60.065867,44.820933,tentative_from_project_notes,134796.2,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
8,08/20А,0-23 см,0.0,23.0,2.42,,0.45,9.6,26.7,16.0,3.8,17.06,0.368,0-10,0.0,10.0,1.33,7.29,8.0,50.03,40.03,9.91,легко суглинистый,S131,61.221228,45.754821,60.097676,44.860309,confirmed_from_project_notes,132713.8,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
9,09/20А,0-4 см,0.0,4.0,16.42,0.2,0.5,87.6,164.3,9.0,42.0,202.641,0.713,0-10,0.0,10.0,0.64,1.11,8.17,82.13,12.53,5.31,супесчанная,S132,61.257944,45.815325,60.134392,44.920813,confirmed_from_project_notes,132651.6,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
10,10/20А,0-10 см,0.0,10.0,7.78,0.2,0.55,33.6,82.3,14.8,23.8,84.265,1.951,0-10,0.0,10.0,0.84,8.61,7.3,32.24,59.49,8.24,легко суглинистый,S133,61.267256,45.847397,60.143704,44.952885,confirmed_from_project_notes,132618.7,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
11,11/20А,0-10 см,0.0,10.0,0.1,,0.5,0.2,0.6,0.4,0.0,0.286,0.545,0-8,0.0,8.0,0.98,2.48,8.32,21.35,63.75,14.87, тяжелая глина ,S134,61.268779,45.945191,60.145227,45.050679,confirmed_from_project_notes,132518.2,mapped_to_field_site_dual_source,False,Coordinate source unresolved; validate raw and shifted coordinates separately.
12,12/20А,0-1 см,0.0,1.0,0.06,,0.45,0.36,0.0,0.4,0.2,0.141,0.027,0-6,0.0,6.0,2.91,7.43,7.4,20.41,61.3,18.26,тяжело суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
13,13/20А,0-16 см,0.0,16.0,4.89,,0.3,32.4,43.8,7.2,12.0,55.313,1.484,0-8,0.0,8.0,1.08,9.49,8.59,12.6,65.93,21.45,средняя глина ,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
14,14/20А,0-3 см,0.0,3.0,0.65,,0.45,2.36,7.0,3.4,1.0,5.045,0.275,0-10,0.0,10.0,1.3,1.21,8.49,81.43,10.71,7.83,супесчанная,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
15,15/20А,0-3 см,0.0,3.0,7.47,0.1,0.6,24.0,85.8,15.2,5.8,89.164,0.865,0-5,0.0,5.0,0.87,0.62,7.78,30.62,58.26,11.09,средне суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
16,16/20А,0-10 см,0.0,10.0,0.09,,0.65,0.36,0.3,0.4,0.4,0.273,0.168,0-6,0.0,6.0,1.15,5.56,7.75,40.44,46.08,13.44,средне суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
17,17/20А,0-2 см,0.0,2.0,3.58,0.2,0.4,41.6,22.8,22.6,15.6,6.508,4.792,0-5,0.0,5.0,1.95,6.44,7.72,27.57,62.45,9.94,средне суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
18,18/20А,0-3 см,0.0,3.0,1.19,,0.4,0.72,16.5,15.4,1.4,0.92,0.147,0-5,0.0,5.0,0.42,5.41,7.89,71.22,23.13,5.62,супесчанная ,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
19,19/20А,0-2 см,0.0,2.0,41.38,0.4,0.85,344.0,286.9,12.0,122.0,580.158,6.722,0-10,0.0,10.0,1.35,8.47,8.08,20.45,61.0,18.53,средне суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
20,20/20А,0-1 см,0.0,1.0,17.19,0.1,0.35,184.0,86.7,24.4,58.0,221.487,4.792,0-8,0.0,8.0,1.68,8.34,7.61,,,,,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
21,21/20А,,,,,,,,,,,,,0-5,0.0,5.0,1.16,6.88,8.44,24.89,63.4,11.68,средне суглинистая,,,,,,,,lab_only_no_coordinates,False,No coordinates available for this profile.
