pit_number,pit_code,texture_year,sand_pct,silt_pct,clay_pct,texture_label,source_file
1,01/20А,2020,86.69,8.16,5.12,Песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
2,02/20А,2020,67.58,25.7,6.68,супесчаный,"мехсостав 2020, 2021 по типам(Лист4).csv"
3,03/20А,2020,47.12,39.95,12.91,легко суглинистый,"мехсостав 2020, 2021 по типам(Лист4).csv"
4,04/20А,2020,49.21,39.25,11.52,легко суглинистый,"мехсостав 2020, 2021 по типам(Лист4).csv"
5,05/20А,2020,40.94,48.66,10.38,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
6,06/20А,2020,77.94,14.92,7.11,супесчанная ,"мехсостав 2020, 2021 по типам(Лист4).csv"
7,07/20А,2020,71.01,19.73,9.22,супесчанная ,"мехсостав 2020, 2021 по типам(Лист4).csv"
8,08/20А,2020,50.03,40.03,9.91,легко суглинистый,"мехсостав 2020, 2021 по типам(Лист4).csv"
9,09/20А,2020,82.13,12.53,5.31,супесчанная,"мехсостав 2020, 2021 по типам(Лист4).csv"
10,10/20А,2020,32.24,59.49,8.24,легко суглинистый,"мехсостав 2020, 2021 по типам(Лист4).csv"
11,11/20А,2020,21.35,63.75,14.87, тяжелая глина ,"мехсостав 2020, 2021 по типам(Лист4).csv"
12,12/20А,2020,20.41,61.3,18.26,тяжело суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
13,13/20А,2020,12.6,65.93,21.45,средняя глина ,"мехсостав 2020, 2021 по типам(Лист4).csv"
14,14/20А,2020,81.43,10.71,7.83,супесчанная,"мехсостав 2020, 2021 по типам(Лист4).csv"
15,15/20А,2020,30.62,58.26,11.09,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
16,16/20А,2020,40.44,46.08,13.44,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
17,17/20А,2020,27.57,62.45,9.94,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
18,18/20А,2020,71.22,23.13,5.62,супесчанная ,"мехсостав 2020, 2021 по типам(Лист4).csv"
19,19/20А,2020,20.45,61.0,18.53,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
20,20/20А,2020,,,,,"мехсостав 2020, 2021 по типам(Лист4).csv"
21,21/20А,2020,24.89,63.4,11.68,средне суглинистая,"мехсостав 2020, 2021 по типам(Лист4).csv"
1,01/20А,2021,87.0,10.25,2.72,песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
2,02/20А,2021,84.03,13.14,2.8,песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
3,03/20А,2021,83.74,13.18,3.05,песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
4,04/20А,2021,49.32,44.11,6.55,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
5,05/20А,2021,55.9,33.31,10.75,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
6,06/20А,2021,87.96,9.43,12.92,супесчаный,"мехсостав 2020, 2021 по типам(Лист4).csv"
7,07/20А,2021,66.68,21.58,11.71,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
8,08/20А,2021,65.35,23.81,10.82,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
9,09/20А,2021,37.87,56.04,6.06,супесчаный,"мехсостав 2020, 2021 по типам(Лист4).csv"
10,10/20А,2021,68.96,26.02,4.99,супесчаный,"мехсостав 2020, 2021 по типам(Лист4).csv"
11,11/20А,2021,84.77,12.06,3.13,супесчанный,"мехсостав 2020, 2021 по типам(Лист4).csv"
12,12/20А,2021,83.62,15.29,1.06,песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
13,13/20А,2021,56.74,31.61,11.64,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
14,14/20А,2021,56.06,27.42,16.49,средний суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
15,15/20А,2021,41.74,49.16,9.07,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
16,16/20А,2021,67.94,24.113,7.91,легкий суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
17,17/20А,2021,64.19,15.53,10.25,супесчаный,"мехсостав 2020, 2021 по типам(Лист4).csv"
18,18/20А,2021,91.5,6.14,2.34,песок,"мехсостав 2020, 2021 по типам(Лист4).csv"
19,19/20А,2021,25.09,63.47,11.42,средний суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
20,20/20А,2021,33.95,54.43,11.59,тяжелый суглинок,"мехсостав 2020, 2021 по типам(Лист4).csv"
21,21/20А,2021,,,,,"мехсостав 2020, 2021 по типам(Лист4).csv"
