№ п/п;Место отбора ;Место отбора (глубина);CO3,             ммоль (экв) /100 г;CO3,            %;HCO3,             ммоль (экв) /100 г;HCO3,             %;Cl,             ммоль (экв) /100 г;Cl, %;SO4, ммоль/  100 г;SO4, %;Ca,             ммоль (экв) /100 г;Ca,            %;Mg,             ммоль (экв) /100 г;Mg,            %;Na, ммоль (экв) /100 г;Na, %;К, ммоль (экв) /100 г;К, %;Соленость, %;Сумма анионов;Сумма катионов;;CO3,             ммоль (экв) /100 г;HCO3,             ммоль (экв) /100 г;Cl,             ммоль (экв) /100 г;SO4, ммоль/  100 г;Ca,             ммоль (экв) /100 г;Mg,             ммоль (экв) /100 г;Na, ммоль (экв) /100 г;К, ммоль (экв) /100 г
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Разрез 1;0-13 см;-;-;0,500;0,031;0,320;0,011;-;-;0,400;0,008;0,200;0,002;0,138;0,003;0,009;0,0004;0,06;0,846;0,747;1;0;0,45;0,28;0,1;0,4;0,2;0,102;0,009
2;;13-50 см;-;-;0,400;0,024;0,240;0,009;0,1;0,01;0,400;0,008;0,200;0,002;0,065;0,002;0,009;0,0004;0,05;0,754;0,674;;0;0,43;0,27;0,1;0,35;0,2;0,09;0,02
3;;50-75 см;-;-;0,300;0,018;0,240;0,009;-;-;0,200;0,004;0,200;0,002;0,084;0,002;0,020;0,001;0,04;0,566;0,503;2;0;0,4;0,34;0,3;0,5;0,2;0,111;0,08
4;;75-94 см;-;-;0,550;0,034;0,280;0,010;-;-;0,400;0,008;0,200;0,002;0,102;0,002;0,042;0,002;0,06;0,834;0,743;;0;0,4;0,34;0,4;0,45;0,3;0,12;0,08
5;;94-140 см;-;-;0,450;0,027;0,280;0,010;0,1;0,003;0,400;0,008;0,400;0,005;0,065;0,002;0,020;0,001;0,06;0,800;0,885;3;0;0,45;0,307;0,3;0,467;0,267;0,069;0,009
6;Разрез 2;0-25 см;-;-;0,400;0,024;0,320;0,011;0,3;0,01;0,600;0,012;0,200;0,002;0,120;0,003;0,085;0,003;0,07;1,031;1,005;;0;0,47;0,344;2,6;1,44;0,56;0,211;0,226
7;;25-56 см;-;-;0,400;0,024;0,360;0,013;-;-;0,400;0,008;0,200;0,002;0,102;0,002;0,074;0,003;0,05;0,764;0,776;4;0,1;0,333;41,867;44,7;21,26;4,66;63,72;1,84
8;;26-87 см;-;-;0,400;0,024;0,360;0,013;-;-;0,200;0,004;0,400;0,005;0,102;0,002;0,063;0,002;0,05;0,786;0,765;;0;0,3;34,96;35,7;17,24;4;52,83;1,38
9;;87-100 см;-;-;0,400;0,024;0,320;0,011;0,5;0,02;0,600;0,012;0,400;0,005;0,174;0,004;0,096;0,004;0,08;1,184;1,270;5;0,3;0,363;103,3;121;12,9;64,1;138,75;4,53
