№ разреза;Глубина;гумус , % ;СО2;рН;
01/20А;0-10;0,45;1,49;7,68;
;16-26;-;0,62;7,79;
;38-48;-;0,58;7,81;
;70-80;;0,64;7,95;
;90-100;;0,74;8,02;
02/20 А;0-6;0,82;8,41;6,83;
;38-68;0,45;6,77;7,31;
;30-40;0,24;6,55;7,98;
;53-63;;6,81;7,94;
;90-100;;6,87;8,17;
03/20 А;0-6;0,91;7,29;7,96;
;15-25;0,46;7,26;8,41;
;42-52;0,23;8,72;8,47;
;90-100;;6,74;8,47;
04/20 А;0-6;0,58;7,46;8,20;
;20-30;0,10;7,01;8,21;
;27-37;0,06;8,66;8,54;
;45-55;;8,14;8,64;
;90-100;;8,85;8,73;
05/20 А;0-3;1,31;6,06;8,50;
;3-11;0,75;6,91;8,74;
;14-24;0,46;8,11;8,80;
;30-40;;7,53;8,56;
;52-62;;7,78;8,58;
;100-110;;7,16;8,63;
06/20 А;0-5;0,21;6,13;8,63;
;9-19;0,16;5,67;7,56;
;35-45;0,09;6,03;7,87;
;100-110;;6,17;8,05;
07/20 А;0-6;0,44;7,21;7,59;
;9-19;0,32;6,97;7,63;
;30-40;0,22;6,39;7,01;
;50-60;;6,13;7,85;
;120-130;;5,91;7,79;
08/20А;0-10;1,33;7,29;8,00;
;15-25;0,47;7,94;8,21;
;35-45;0,33;7,13;8,47;
;60-70;;7,33;8,68;
;110-120;;1,29;8,26;
09/20А;0-10;0,64;1,11;8,17;
;15-25;0,57;2,21;7,93;
;40-50;0,42;1,52;7,87;
;80-90;;0,68;7,57;
10/20А;0-10;0,84;8,61;7,30;
;15-25;0,61;9,01;8,28;
;25-35;0,29;8,11;8,33;
;45-55;;8,38;8,38;
;80-90;;7,53;8,65;
11/20А;0-8;0,98;2,48;8,32;
;13-23;0,89;6,42;8,46;
;35-45;0,77;8,42;8,68;
;60-70;;8,57;8,42;
;100-110;;8,25;8,33;
12/20А;0-6;2,91;7,43;7,40;
;8-18;1,69;7,92;7,64;
;25-35;1,63;6,62;7,42;
;50-60;;8,54;8,67;
;100-110;;9,16;8,89;
13/20А;0-8;1,08;9,49;8,59;
;13-23;1,04;9,85;8,00;
;40-50;0,99;8,02;8,23;
;100-110;;8,31;8,38;
14/20А;0-10;1,30;1,21;8,49;
;12-22;0,43;0,98;8,75;
;28-38;0,02;0,75;8,39;
;45-55;;0,58;7,71;
;100-110;;0,42;7,93;
15/20А;0-5;0,87;0,62;7,78;
;7-17;0,79;8,64;8,25;
;32-42;0,79;9,01;8,39;
;55-65;;7,46;8,31;
;100-110;;7,98;7,63;
16/20А;0-6;1,15;5,56;7,75;
;8-18;0,63;5,66;8,04;
;22-32;0,59;8,15;7,66;
;40-50;;8,11;8,11;
;90-100;;8,61;8,69;
17/20А;0-5;1,95;6,44;7,72;
;9-19;1,04;7,66;8,15;
;35-45;0,56;8,34;8,90;
;58-68;;7,89;8,67;
;100-110;;6,48;7,78;
18/20А;0-5;0,42;5,41;7,89;
;8-18;0,31;5,79;8,13;
;27-37;0,24;6,35;8,20;
;40-50;;5,07;8,83;
;90-100;;4,58;8,89;
19/20А;0-10;1,35;8,47;8,08;
;12-22;0,75;8,18;8,05;
;33-43;0,60;8,25;8,12;
;55-65;;7,75;8,34;
;90-100;;8,28;7,85;
20/20 А;0-8;1,68;8,34;7,61;
;12-22;0,55;7,72;7,95;
;35-45;0,40;7,53;8,41;
;58-68;;7,33;8,50;
;100-110;;8,02;8,52;
21/20А;0-5;1,16;6,88;8,44;
;5-15;0,66;7,49;8,56;
;20-30;0,46;7,56;8,48;
;48-58;;7,85;8,37;
;68-78;;7,72;8,40;
;120-130;;7,79;8,41;
